,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
0,BLACK MAYA,9118800,Small Tankers,CURACAO,Entered MEG,2026-08-11,Iranian Route,Ballast,,0,bbl,Muscat,Oman,Khor Al Zubair Port,Iraq,2005,"1,995",JAPAN,2.005,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
1,NEW FUTURE,9379313,MR,MARSHALL ISLANDS,Entered MEG,2026-08-11,Iranian Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Hamriya,United Arab Emirates,50922,"2,007",REPUBLIC OF KOREA,50.922,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
2,ABU DHABI III,9489027,Aframax/LR2,LIBERIA,Entered MEG,2026-08-10,Dark/Unknown Route,Ballast,,0,bbl,Yantai,China,Ras Laffan,Qatar,105131,"2,011",REPUBLIC OF KOREA,105.131,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
3,FRIEND,9299159,Panamax/LR1,ANTIGUA AND BARBUDA,Entered MEG,2026-08-10,Dark/Unknown Route,Ballast,,0,bbl,Zhu Hai,China,Dubai Area,United Arab Emirates,65065,"2,006",CROATIA,65.065,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
5,ASHLEY,9258466,Panamax/LR1,ANTIGUA AND BARBUDA,Entered MEG,2026-08-09,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Khor Al Zubair Port,Iraq,68524,"2,004",JAPAN,68.524,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
7,NISSOS DESPOTIKO,9845697,VLCC,MARSHALL ISLANDS,Entered MEG,2026-08-09,Dark/Unknown Route,Ballast,,0,bbl,Yeosu,South Korea,,,318744,"2,019",REPUBLIC OF KOREA,318.744,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
10,FIJI PROSPERITY,9740330,VLCC,LIBERIA,Entered MEG,2026-08-08,Dark/Unknown Route,Ballast,,0,bbl,Zhoushan,China,Mesaieed,Qatar,297638,"2,017",PHILIPPINES,297.638,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
12,NIKI,9820312,MR,IRAN,Entered MEG,2026-08-08,Iranian Route,Ballast,,0,bbl,Gulf of Oman,,Mideast Gulf,,49288,"2,018",REPUBLIC OF KOREA,49.288,LR1,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
15,YOKO 1,9241085,MR,PANAMA,Entered MEG,2026-08-08,Iranian Route,Ballast,,0,bbl,Sohar,Oman,Umm Qasr South,Iraq,46684,"2,004",CROATIA,46.684,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
16,AB VICTORY,9287871,Short Sea Tankers,PALAU,Entered MEG,2026-08-07,Iranian Route,Ballast,,0,bbl,Sohar Light.,Oman,Khor Al Zubair Port,Iraq,5872,"2,003",TURKIYE,5.872,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
17,ADRIA,9557745,Short Sea Tankers,COMOROS,Entered MEG,2026-08-07,Dark/Unknown Route,Laden,,46865,bbl,Sohar Light.,Oman,Hamriya,United Arab Emirates,9551,"2,012",CHINA,9.551,Below GP,unknown,untagged,0.0,False,False,False,True,False,clean fleet
19,ATMOS,9337418,Aframax/LR2,CAMEROON,Entered MEG,2026-08-07,Dark/Unknown Route,Ballast,,0,bbl,Mumbai,India,,,105572,"2,007",JAPAN,105.572,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
21,INDONESIA PROSPERITY,9595228,VLCC,LIBERIA,Entered MEG,2026-08-07,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Al Basrah,Iraq,299981,"2,013",CHINA,299.981,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
23,MURLIKISHAN,9269403,Handy/MR1,MADAGASCAR,Entered MEG,2026-08-07,Iranian Route,Ballast,,0,bbl,Trincomalee,Sri Lanka,Khor Al Zubair Port,Iraq,28560,"2,003",CHINA,28.56,MR,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
