Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
TENZAN,9851593,VLCC,LIBERIA,Exited MEG,2026-06-18,Iranian Route,Laden,Crude/Co,1799999,bbl,Das Island,United Arab Emirates,Nagoya,Japan,312524,"2,020",JAPAN,312.524,VLCC,crude,tagged,1799999.0,False,False,False,False,False,clean fleet
SHADEN,9779848,VLCC,SAUDI ARABIA,Exited MEG,2026-06-18,Dark/Unknown Route,Laden,Crude/Co,2066813,bbl,Ras Tanura,Saudi Arabia,Ningbo,China,298750,"2,017",REPUBLIC OF KOREA,298.75,VLCC,crude,tagged,2066813.0,False,False,False,True,False,clean fleet
JAHAM,9378541,VLCC,SAUDI ARABIA,Exited MEG,2026-06-18,Dark/Unknown Route,Laden,Crude/Co,2139252,bbl,Ras Tanura,Saudi Arabia,Ningbo,China,318000,"2,008",REPUBLIC OF KOREA,318.0,VLCC,crude,tagged,2139252.0,False,False,False,True,False,clean fleet
AWTAD,9519717,VLCC,SAUDI ARABIA,Exited MEG,2026-06-18,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,309988,"2,011",REPUBLIC OF KOREA,309.988,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
AL RIQQA,9534808,VLCC,KUWAIT,Exited MEG,2026-06-19,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Fujairah Light.,United Arab Emirates,319704,"2,011",REPUBLIC OF KOREA,319.704,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
AL SIDDEEQ,9853486,VLCC,KUWAIT,Exited MEG,2026-06-19,Dark/Unknown Route,Laden,Crude/Co,2128352,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,323514,"2,021",CHINA,323.514,ULCC,crude,tagged,2128352.0,False,False,False,True,False,clean fleet
CYPRUS PROSPERITY,9595216,VLCC,LIBERIA,Exited MEG,2026-06-19,Dark/Unknown Route,Laden,Crude/Co,1865621,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,299996,"2,012",CHINA,299.996,VLCC,crude,tagged,1865621.0,False,False,False,True,False,clean fleet
FELICITY,9183934,VLCC,IRAN,Exited MEG,2026-06-19,Dark/Unknown Route,Laden,Crude/Co,2009123,bbl,Kharg Island,Iran,EOPL,,299990,"2,000",JAPAN,299.99,VLCC,crude,tagged,2009123.0,True,True,True,True,True,dark fleet
FUJAIRAH ENERGY,9723071,VLCC,LIBERIA,Exited MEG,2026-06-19,Dark/Unknown Route,Laden,Crude/Co,1900001,bbl,Al Basrah,Iraq,Fujairah Light.,United Arab Emirates,299999,"2,015",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,1900001.0,False,False,False,True,False,clean fleet
DESH VAIBHAV,9297498,VLCC,INDIA,Exited MEG,2026-06-19,Iranian Route,Laden,Crude/Co,2013123,bbl,Al Basrah,Iraq,Vadinar,India,316409,"2,005",REPUBLIC OF KOREA,316.409,VLCC,crude,tagged,2013123.0,False,False,False,False,False,clean fleet
AL FUNTAS,9653408,VLCC,KUWAIT,Exited MEG,2026-06-20,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Sohar Light.,Oman,316648,"2,014",REPUBLIC OF KOREA,316.648,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
ANGOLA B,9623685,VLCC,LIBERIA,Exited MEG,2026-06-20,Omani Route,Laden,Crude/Co,2009185,bbl,Das Island,United Arab Emirates,Gulf of Oman,,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2009185.0,False,False,False,False,False,clean fleet
DESH VIBHOR,9610298,VLCC,INDIA,Exited MEG,2026-06-20,Dark/Unknown Route,Laden,Crude/Co,2122987,bbl,Mina Al-Ahmadi,Kuwait,Sikka,India,316635,"2,015",CHINA,316.635,VLCC,crude,tagged,2122987.0,False,False,False,True,False,clean fleet
GRAND LADY,9406166,VLCC,CYPRUS,Exited MEG,2026-06-20,Dark/Unknown Route,Laden,Crude/Co,1900001,bbl,Al Basrah,Iraq,Sohar Light.,Oman,299999,"2,011",JAPAN,299.999,VLCC,crude,tagged,1900001.0,False,False,False,True,False,clean fleet
SANMAR HERALD,9330563,VLCC,INDIA,Exited MEG,2026-06-20,Dark/Unknown Route,Laden,Crude/Co,2005393,bbl,Al Basrah,Iraq,Paradip,India,309000,"2,007",REPUBLIC OF KOREA,309.0,VLCC,crude,tagged,2005393.0,False,False,False,True,False,clean fleet
KIDAN,9519482,VLCC,SAUDI ARABIA,Exited MEG,2026-06-20,Dark/Unknown Route,Laden,Crude/Co,1899994,bbl,Zirku,United Arab Emirates,Zhanjiang,China,321050,"2,010",REPUBLIC OF KOREA,321.05,ULCC,crude,tagged,1899994.0,False,False,False,True,False,clean fleet
DORE,9357717,VLCC,IRAN,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2143058,bbl,Kharg Island,Iran,,,317850,"2,009",REPUBLIC OF KOREA,317.85,VLCC,crude,tagged,2143058.0,True,True,True,True,True,dark fleet
GULF SUNRISE,9788887,VLCC,PANAMA,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2062209,bbl,Ras Tanura,Saudi Arabia,Singapore,Singapore Republic,301528,"2,017",REPUBLIC OF KOREA,301.528,VLCC,crude,tagged,2062209.0,False,False,False,True,False,clean fleet
MAJRA,9830812,VLCC,SAUDI ARABIA,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2099998,bbl,Ras Tanura,Saudi Arabia,Zhoushan,China,320784,"2,019",REPUBLIC OF KOREA,320.784,ULCC,crude,tagged,2099998.0,False,False,False,True,False,clean fleet
MIAOULIS 21,9886641,Suezmax/LR3,GREECE,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,1008665,bbl,Al Basrah,Iraq,Singapore,Singapore Republic,158081,"2,021",REPUBLIC OF KOREA,158.081,LR2,crude,tagged,1008665.0,False,False,False,True,False,clean fleet
MONACO LOYALTY,9312511,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2057944,bbl,Al Shaheen,Qatar,Linggi Light.,Malaysia,307284,"2,007",CHINA,307.284,VLCC,crude,tagged,2057944.0,False,False,False,True,False,clean fleet
NORDIC POLLUX,9239848,Suezmax/LR3,MARSHALL ISLANDS,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,734996,bbl,Ras Tanura,Saudi Arabia,Chittagong,Bangladesh,150103,"2,003",JAPAN,150.103,LR2,crude,tagged,734996.0,False,False,False,True,False,clean fleet
OLYMPIC TARGET,9468853,VLCC,GREECE,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2039320,bbl,Al Basrah,Iraq,,,319861,"2,011",REPUBLIC OF KOREA,319.861,VLCC,crude,tagged,2039320.0,False,False,False,True,False,clean fleet
URI,9248497,VLCC,COMOROS,Exited MEG,2026-06-21,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Kharg Island,Iran,,,299164,"2,002",JAPAN,299.164,VLCC,crude,tagged,2000002.0,True,True,True,True,True,dark fleet
ELVA,9196644,VLCC,GAMBIA,Exited MEG,2026-06-22,Iranian Route,Laden,Crude/Co,2007462,bbl,Kharg Island,Iran,,,298465,"2,002",JAPAN,298.465,VLCC,crude,tagged,2007462.0,True,True,True,False,True,dark fleet
LION,9838577,Aframax/LR2,LIBERIA,Exited MEG,2026-06-22,Dark/Unknown Route,Laden,Crude/Co,600243,bbl,Halul Island,Qatar,Fos,France,114036,"2,021",PHILIPPINES,114.036,AFRA,crude,tagged,600243.0,False,False,False,True,False,clean fleet
NORDIC CROSS,9438418,Suezmax/LR3,MARSHALL ISLANDS,Exited MEG,2026-06-22,Dark/Unknown Route,Laden,Crude/Co,1036888,bbl,Al Basrah,Iraq,Le Havre,France,158475,"2,010",REPUBLIC OF KOREA,158.475,LR2,crude,tagged,1036888.0,False,False,False,True,False,clean fleet
ROTTERDAM ENERGY,9508859,VLCC,LIBERIA,Exited MEG,2026-06-22,Dark/Unknown Route,Laden,Crude/Co,1986831,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,296659,"2,010",CHINA,296.659,VLCC,crude,tagged,1986831.0,False,False,False,True,False,clean fleet
VIRGO,9236250,VLCC,BOTSWANA,Exited MEG,2026-06-22,Iranian Route,Laden,Crude/Co,2047994,bbl,Kharg Island,Iran,EOPL,,305796,"2,002",REPUBLIC OF KOREA,305.796,VLCC,crude,tagged,2047994.0,True,True,True,False,True,dark fleet
TITAN,9293143,Suezmax/LR3,CURACAO,Exited MEG,2026-06-22,Dark/Unknown Route,Laden,Crude/Co,1066657,bbl,Kharg Island,Iran,,,159195,"2,005",REPUBLIC OF KOREA,159.195,LR2,crude,tagged,1066657.0,True,True,True,True,True,dark fleet
VIGOR,9262156,VLCC,BOTSWANA,Exited MEG,2026-06-22,Iranian Route,Laden,Crude/Co,2070700,bbl,Kharg Island,Iran,,,299984,"2,004",JAPAN,299.984,VLCC,crude,tagged,2070700.0,True,True,True,False,True,dark fleet
DUBAI ENERGY,9602928,VLCC,LIBERIA,Exited MEG,2026-06-23,Omani Route,Laden,Crude/Co,1963006,bbl,Ras Tanura,Saudi Arabia,Taoyuan,Taiwan,319063,"2,013",REPUBLIC OF KOREA,319.063,VLCC,crude,tagged,1963006.0,False,False,False,False,False,clean fleet
LEGIO X EQUESTRIS,9912256,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-23,Omani Route,Laden,Crude/Co,2060001,bbl,Ras Tanura,Saudi Arabia,Sikka,India,299937,"2,022",REPUBLIC OF KOREA,299.937,VLCC,crude,tagged,2060001.0,False,False,False,False,False,clean fleet
LUCIA A,9228655,Suezmax/LR3,SAN MARINO,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,979996,bbl,Al Basrah,Iraq,Ain Sukhna,Egypt,159997,"2,003",REPUBLIC OF KOREA,159.997,LR2,crude,tagged,979996.0,False,False,False,True,False,clean fleet
MONTE URBASA,9785835,Suezmax/LR3,PORTUGAL,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,999998,bbl,Ras Tanura,Saudi Arabia,Mundra,India,156400,"2,018",SPAIN,156.4,LR2,crude,tagged,999998.0,False,False,False,True,False,clean fleet
STAR LINE,9237618,Aframax/LR2,NICARAGUA,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,716208,bbl,Kharg Island,Iran,,,105716,"2,003",REPUBLIC OF KOREA,105.716,AFRA,crude,tagged,716208.0,True,True,True,True,True,dark fleet
UNIVERSAL GLORY,9794824,VLCC,LIBERIA,Exited MEG,2026-06-23,Iranian Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Yeosu,South Korea,301123,"2,017",REPUBLIC OF KOREA,301.123,VLCC,crude,tagged,1999996.0,False,False,False,False,False,clean fleet
AL JABRIYAH II,9329708,VLCC,KUWAIT,Exited MEG,2026-06-24,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Kuwait,Kuwait,Sohar Light.,Oman,317570,"2,007",REPUBLIC OF KOREA,317.57,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
BAHRAIN PROSPERITY,9596947,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,1990662,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,1990662.0,False,False,False,False,False,clean fleet
FRONT SHANGHAI,9832262,Suezmax/LR3,HONG KONG,Exited MEG,2026-06-24,Dark/Unknown Route,Laden,Crude/Co,1017754,bbl,Al Basrah,Iraq,Rotterdam,Netherlands,158006,"2,019",REPUBLIC OF KOREA,158.006,LR2,crude,tagged,1017754.0,False,False,False,True,False,clean fleet
PLATA CARRIER,9358280,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,2057944,bbl,Ras Tanura,Saudi Arabia,Paradip,India,307284,"2,008",CHINA,307.284,VLCC,crude,tagged,2057944.0,False,False,False,False,False,clean fleet
PRUDENT WARRIOR,9753545,Suezmax/LR3,GREECE,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,1017710,bbl,Al Basrah,Iraq,Corinth,Greece,149995,"2,017",REPUBLIC OF KOREA,149.995,LR2,crude,tagged,1017710.0,False,False,False,False,False,clean fleet
