load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl
Baltic Loyalty,9411953,Suriname Prosperity,9376749,Fujairah Light.,2026-08-10 18:19:00,2026-08-11 07:57:00,1147500,162187,Crude,Basrah Med.,398542694,Gulf of Oman,BALTIC LOYALTY,SURINAME PROSPERITY,Fujairah Light.,Fujairah Light,1147500
Sargodha,9360465,Ocean Loyalty,9375238,Fujairah Light.,2026-08-10 11:59:00,2026-08-11 07:54:00,722655,98118,Crude,Zakum,398481296,Gulf of Oman,SARGODHA,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,722655
Tamba,9343405,Gulf Loyalty,9441245,Sohar Light.,2026-08-10 00:59:00,2026-08-11 07:54:00,1788872,246297,Crude,ME,398415301,Gulf of Oman,TAMBA,GULF LOYALTY,Sohar Light.,Sohar Light,1788872
V.Progress,9845154,Basrah Energy,9391775,Sohar Light.,2026-08-10 00:00:00,2026-08-11 00:00:00,1996461,263769,Crude,Das,398569776,Gulf of Oman,V.PROGRESS,BASRAH ENERGY,Sohar Light.,Sohar Light,1996461
Olympic Luna,9731157,Nissos Kea,9920758,Sohar Light.,2026-08-10 00:00:00,2026-08-11 00:00:00,1979994,279851,Crude,Basrah,398572674,Gulf of Oman,OLYMPIC LUNA,NISSOS KEA,Sohar Light.,Sohar Light,1979994
Aragona,9513115,Al Riqqa,9534808,Sohar Light.,2026-08-10 00:00:00,2026-08-11 00:00:00,2000002,278228,Crude,Kuwait,398571736,Gulf of Oman,ARAGONA,AL RIQQA,Sohar Light.,Sohar Light,2000002
P.Aliki,9460136,Ocean Loyalty,9375238,Fujairah Light.,2026-08-09 19:37:00,2026-08-10 09:19:00,705924,95846,Crude,Zakum,398364100,Gulf of Oman,P.ALIKI,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,705924
Desh Viraat,9371593,Dar Salwa,9534779,Fujairah Light.,2026-08-09 00:00:00,2026-08-10 00:00:00,2000002,275366,Crude,ME,398566159,Gulf of Oman,DESH VIRAAT,DAR SALWA,Fujairah Light.,Fujairah Light,2000002
Front Otra,1116014,Nissos Kythnos,9853852,Sohar Light.,2026-08-07 17:59:00,2026-08-11 05:56:00,2042477,288358,Crude,Shaheen,398021066,Gulf of Oman,FRONT OTRA,NISSOS KYTHNOS,Sohar Light.,Sohar Light,2042477
Poliegos,9746621,Baltic Loyalty,9411953,Sohar Light.,2026-08-07 12:18:00,2026-08-09 18:37:00,1065431,150587,Crude,Basrah,398001376,Gulf of Oman,POLIEGOS,BALTIC LOYALTY,Sohar Light.,Sohar Light,1065431
Bam Sandy,9326914,Albi,9444821,Fujairah Light.,2026-08-07 04:16:00,2026-08-07 21:54:00,22127,3082,Crude,Jones Creek,397948949,Gulf of Oman,BAM SANDY,ALBI,Fujairah Light.,Fujairah Light,22127
Bam Sandy,9326914,Albi,9444821,Fujairah Light.,2026-08-07 04:16:00,2026-08-07 21:54:00,22127,2905,Crude,Meleck,397948949,Gulf of Oman,BAM SANDY,ALBI,Fujairah Light.,Fujairah Light,22127
Yuan Yang Hu,9398943,Cameroon Prosperity,9315159,Fujairah Light.,2026-08-07 00:00:00,2026-08-07 00:00:00,1990001,262915,Crude,Das,398481543,Gulf of Oman,YUAN YANG HU,CAMEROON PROSPERITY,Fujairah Light.,Fujairah Light,1990001
C.Majesty,9402990,Bahrain Prosperity,9596947,Sohar Light.,2026-08-07 00:00:00,2026-08-07 00:00:00,2000002,264237,Crude,Das,398481524,Gulf of Oman,C.MAJESTY,BAHRAIN PROSPERITY,Sohar Light.,Sohar Light,2000002
