,named_sts_giver_not_soh,unknown_partner_not_soh,unaccounted_total_mbbl,soh_exit_mbbl
2026-06-18,0.0,3.991356,3.991356,8.00606
2026-06-19,0.0,0.0,0.0,11.916222
2026-06-20,0.0,0.0,0.0,11.937562
2026-06-21,0.0,1.000004,1.000004,14.146192
2026-06-22,0.0,0.0,0.0,10.816775
2026-06-23,0.563114,2.000002,2.563116,8.719205
2026-06-24,0.0,4.266239,4.266239,13.836764
2026-06-25,0.0,0.0,0.0,14.830907
2026-06-26,0.0,0.0,0.0,7.694545
2026-06-27,0.0,1.999996,1.999996,11.237406
2026-06-28,0.0,0.0,0.0,4.117768
2026-06-29,0.0,0.0,0.0,6.091121
2026-06-30,0.646535,1.999996,2.646531,7.816466
2026-07-01,0.0,1.999996,1.999996,8.222246
2026-07-02,1.959999,0.0,1.959999,8.24396
2026-07-03,0.0,1.9,1.9,10.11853
2026-07-04,2.000002,2.000002,4.000004,7.139198
2026-07-05,0.0,0.0,0.0,8.175048
2026-07-06,0.0,0.0,0.0,18.470145
2026-07-07,0.0,0.0,0.0,18.426333
2026-07-08,0.0,0.0,0.0,3.851735
2026-07-09,0.0,2.000002,2.000002,4.082427
2026-07-10,0.0,1.999996,1.999996,4.07301
2026-07-11,0.709572,0.0,0.709572,8.790801
2026-07-12,0.0,0.0,0.0,3.921496
2026-07-13,0.0,0.0,0.0,8.260829
2026-07-14,1.000004,0.0,1.000004,6.812304
2026-07-15,0.0,0.0,0.0,5.920094
2026-07-16,0.0,0.914211,0.914211,0.0
2026-07-17,0.0,0.0,0.0,2.646243
2026-07-18,0.599997,0.999998,1.599995,1.979994
2026-07-19,0.0,0.0,0.0,5.960003
2026-07-20,1.011445,0.0,1.011445,4.098006
2026-07-21,0.0,0.0,0.0,1.986831
2026-07-22,0.888555,0.0,0.888555,0.0
2026-07-23,0.0,0.0,0.0,3.95651
2026-07-24,0.0,0.0,0.0,3.960001
2026-07-25,0.0,2.000002,2.000002,4.008678
2026-07-27,0.999998,0.0,0.999998,0.0
2026-07-28,0.0,0.0,0.0,4.080426
2026-07-29,0.0,1.999996,1.999996,3.99084
2026-07-30,0.0,2.000002,2.000002,1.054116
2026-07-31,0.0,0.0,0.0,9.050609
2026-08-01,0.0,1.823591,1.823591,2.763038
2026-08-02,0.0,0.0,0.0,3.032606
2026-08-03,0.0,0.0,0.0,5.966583
2026-08-04,0.0,0.0,0.0,7.846399
2026-08-05,0.0,0.999998,0.999998,2.042477
2026-08-06,1.047096,0.0,1.047096,1.979994
2026-08-07,1.109685,2.000002,3.109687,1.996461
2026-08-08,0.0,0.0,0.0,3.960001
2026-08-09,0.0,1.01776,1.01776,0.0
2026-08-10,2.936372,0.0,2.936372,0.0
