vessel_name,vessel_imo,zone_name,location_name,installation_name,start,end,is_sts,cargo_origin_barrels_split_by_product,closest_ancestor_grade,closest_ancestor_product,port_call_id,voyage_id,vessel_key,pc_volume_bbl,sts_zone,matched_named_pair,receiver_in_soh_exits
Olympic Life,9844277,Gulf of Oman,Gulf of Oman,,2026-08-15,2026-08-16 00:00:00,True,2000002,ME,Crude,399560544,49323456,OLYMPIC LIFE,2000002,Gulf of Oman,False,False
Advantage Verdict,9933535,Gulf of Oman,Gulf of Oman,,2026-08-13,2026-08-14 00:00:00,True,2000002,ME,Crude,399088562,49101986,ADVANTAGE VERDICT,2000002,Gulf of Oman,False,False
Universal Frontier,9829382,Fujairah Light.,Fujairah Light.,,2026-08-13,2026-08-14 00:00:00,True,1999996,ME,Crude,397431364,48526301,UNIVERSAL FRONTIER,1999996,Fujairah Light,False,True
Novo,9633446,Gulf of Oman,Gulf of Oman,,2026-08-09,2026-08-10 00:00:00,True,1017760,ME,Crude,398394651,48781285,NOVO,1017760,Gulf of Oman,False,False
Argentina B,9389021,Gulf of Oman,Gulf of Oman,,2026-08-08,2026-08-09 00:00:00,True,-1959999,Basrah,Crude,399569367,46423812,ARGENTINA B,-1959999,Gulf of Oman,False,True
Gulf Loyalty,9441245,Gulf of Oman,Gulf of Oman,,2026-08-07,2026-08-08 00:00:00,True,2000002,ME,Crude,397431327,48831569,GULF LOYALTY,2000002,Gulf of Oman,False,False
Africa,9905320,Gulf of Oman,Gulf of Oman,,2026-08-05,2026-08-06 00:00:00,True,999998,ME,Crude,397473072,48347834,AFRICA,999998,Gulf of Oman,False,False
Dar Salwa,9534779,Gulf of Oman,Gulf of Oman,,2026-08-04,2026-08-05 00:00:00,True,2000002,ME,Crude,398566047,48861634,DAR SALWA,2000002,Gulf of Oman,False,True
Fpmc C Noble,9419955,Gulf of Oman,Gulf of Oman,,2026-08-01,2026-08-02 00:00:00,True,2000002,ME,Crude,397251956,48244362,FPMC C NOBLE,2000002,Gulf of Oman,False,True
Sc Ocean LXI,9299599,Gulf of Oman,Gulf of Oman,,2026-08-01,2026-08-02 00:00:00,True,762224,ME,Crude,397395132,48151400,SC OCEAN LXI,762224,Gulf of Oman,False,False
Sea Avon,1058030,Gulf of Oman,Gulf of Oman,,2026-08-01,2026-08-02 00:00:00,True,1061367,ME,Crude,397394401,48311148,SEA AVON,1061367,Gulf of Oman,False,False
G.Dream,9931329,Gulf of Oman,Gulf of Oman,,2026-07-30,2026-07-31 00:00:00,True,2000002,ME,Crude,395330763,47347056,G.DREAM,2000002,Gulf of Oman,False,False
Fujairah Energy,9723071,Gulf of Oman,Gulf of Oman,,2026-07-30,2026-07-31 00:00:00,True,1999996,ME,Crude,397716542,48462361,FUJAIRAH ENERGY,1999996,Gulf of Oman,False,True
Caspar,9926661,Gulf of Oman,Gulf of Oman,,2026-07-29,2026-07-30 00:00:00,True,1999996,ME,Crude,396722345,47951980,CASPAR,1999996,Gulf of Oman,False,False
Universal Leader,9837597,Gulf of Oman,Gulf of Oman,,2026-07-29,2026-07-30 00:00:00,True,2000002,ME,Crude,397253497,48244928,UNIVERSAL LEADER,2000002,Gulf of Oman,False,True
Nissos Nikouria,9920760,Gulf of Oman,Gulf of Oman,,2026-07-29,2026-07-30 00:00:00,True,2000002,ME,Crude,395382544,47976888,NISSOS NIKOURIA,2000002,Gulf of Oman,False,True
Sanmar Herald,9330563,Gulf of Oman,Gulf of Oman,,2026-07-27,2026-07-28 00:00:00,True,1999996,ME,Crude,397410681,48318684,SANMAR HERALD,1999996,Gulf of Oman,False,True
Front Clyde,1116038,Gulf of Oman,Gulf of Oman,,2026-07-26,2026-07-27 00:00:00,True,2000002,ME,Crude,399107185,48597808,FRONT CLYDE,2000002,Gulf of Oman,False,False
Maran Taurus,9519494,Gulf of Oman,Gulf of Oman,,2026-07-25,2026-07-26 00:00:00,True,2000002,ME,Crude,396014716,47636649,MARAN TAURUS,2000002,Gulf of Oman,False,False
Togo Prosperity,9411032,Gulf of Oman,Gulf of Oman,,2026-07-21,2026-07-22 00:00:00,True,2000002,ME,Crude,397052471,48150454,TOGO PROSPERITY,2000002,Gulf of Oman,False,True
