,i_inside_mbbl,floating_mbbl,kpler_inside_mbbl,kpler_bypass_mbbl,soh_crude_mbbl,d_i_inside,d_floating,implied_offtake,kpler_residual,soh_lagged,s_t,soh_crude_mbbl_ma,kpler_inside_mbbl_ma,implied_offtake_ma,s_t_ma,kpler_residual_ma
2026-06-17,200.57013903681866,20.693,3.8999999999999986,9.63552,0.0,,,,,11.937562,,0.0,3.8999999999999986,,,
2026-06-18,200.57582296813212,22.552,2.0,3.9499899999999997,8.00606,0.005683931313456014,1.8589999999999982,-0.005683931313456014,-2.005683931313456,14.146192,13.820733931313454,4.00303,2.9499999999999993,-0.005683931313456014,13.820733931313454,-2.005683931313456
2026-06-19,203.72223586128138,18.929,2.0091800000000006,5.61768,11.916222,3.146412893149261,-3.623000000000001,-3.146412893149261,-5.155592893149262,10.816775,17.05731489314926,6.640760666666666,2.636393333333333,-1.5760484122313585,15.439024412231358,-3.580638412231359
2026-06-20,205.14106335776836,25.861,1.9868300000000003,4.44293,11.937562,1.4188274964869834,6.932000000000002,-1.4188274964869834,-3.4056574964869837,8.719205,24.731319496486986,7.964961,2.4740025,-1.5236414403165668,18.536456106983234,-3.5223114403165674
2026-06-21,200.55843392089594,25.861,10.284749999999999,3.05953,14.146192,-4.582629436872423,0.0,4.582629436872423,-5.7021205631275755,13.836764,12.623092563127576,9.201207199999999,4.0361519999999995,0.002926278980680763,17.05811522101932,-4.067263721019319
2026-06-22,200.60154881212048,25.827,4.994269999999997,11.224920000000001,10.816775,0.04311489122454759,-0.03399999999999892,-0.04311489122454759,-5.037384891224544,14.830907,22.05080989122455,9.4704685,4.195838333333333,-0.006281955060364908,18.056654155060365,-4.261287955060364
2026-06-23,192.97322857155615,22.812,2.81595,3.81203,8.719205,-7.628320240564335,-3.0150000000000006,7.628320240564335,4.812370240564335,7.694545,1.887914759435665,9.363145142857144,3.9987114285714283,1.2661517442104184,15.361864255789582,-2.749011589122914
2026-06-24,193.07181681229753,19.813,6.404379999999999,5.3313999999999995,13.836764,0.09858824074137829,-2.9990000000000023,-0.09858824074137829,-6.502968240741377,11.237406,16.267752240741377,11.339825714285714,4.3564799999999995,1.0711888892173047,15.491276825068411,-3.2852911107826945
2026-06-25,199.8674218527973,21.69,0.0,9.9066,14.830907,6.795605040499765,1.8770000000000024,-6.795605040499765,-6.795605040499765,4.117768,33.41011204049977,12.314803857142858,4.070765714285714,0.10120015933354612,18.289759412095027,-3.9695655549521676
2026-06-26,201.57687656290557,21.494,13.653659999999999,6.34554,7.694545,1.7094547101082753,-0.1960000000000015,-1.7094547101082753,-15.363114710108274,6.091121,15.553539710108273,11.711707142857142,5.734262857142856,0.30647989976797263,18.074934385946314,-5.427782957374883
2026-06-27,201.24951538911338,21.507,4.19999,6.56199,11.237406,-0.327361173792184,0.013000000000001677,0.327361173792184,-3.8726288262078157,7.816466,17.485034826207816,11.611684857142858,6.05042857142857,0.555935424093568,17.039750861620718,-5.494493147335002
2026-06-28,204.17463244166277,21.697,4.183959999999999,2.7428600000000003,4.117768,2.925117052549382,0.18999999999999773,-2.925117052549382,-7.109077052549381,8.222246,9.97574505254938,10.179052857142858,5.178887142857142,-0.5165997886809757,16.661558360109545,-5.695486931538118
2026-06-29,205.90612690053916,21.777,5.30344,9.46768,6.091121,1.7314944588763979,0.08000000000000185,-1.7314944588763979,-7.034934458876398,8.24396,17.3702954588764,9.503959428571429,5.223054285714285,-0.7577968697740971,15.992913441202669,-5.9808511554883825
2026-06-30,199.96964079377716,23.065,9.132759999999998,4.25255,7.816466,-5.936486106762004,1.2880000000000003,5.936486106762004,-3.1962738932379935,10.11853,7.420529893237997,9.374996714285714,6.125455714285713,-0.9994874603172873,16.78328703174586,-7.124943174603001
2026-07-01,194.65762271810752,22.803,7.00862,2.7335000000000003,8.222246,-5.312018075669641,-0.26200000000000045,5.312018075669641,-1.6966019243303583,7.139198,5.381727924330359,8.572922714285713,6.2117757142857135,-0.22654370082999872,15.228140700829998,-6.438319415115712
2026-07-02,195.32269551341446,24.863,5.989839999999997,8.315790000000002,8.24396,0.6650727953069406,2.0599999999999987,-0.6650727953069406,-6.654912795306938,8.175048,19.28482279530694,7.631930285714286,7.067467142857142,0.6492466199118334,13.210242237231023,-6.418220522945307
2026-07-03,196.36129695115903,22.888,12.25913,5.214499999999999,10.11853,1.0386014377445747,-1.9749999999999979,-1.0386014377445747,-13.297731437744575,18.470145,14.396631437744576,7.9782138571428565,6.868248571428571,0.7450828016780763,13.044969626893351,-6.123165769750494
2026-07-04,193.92377141977127,20.903,3.0094,1.9,7.139198,-2.437525531387763,-1.985000000000003,2.437525531387763,-0.5718744686122368,18.426333,4.616672468612235,7.392755571428571,6.6981642857142845,1.046534852763159,11.206632147236842,-5.651629432951126
2026-07-05,191.1661647434933,19.268,8.047930000000001,4.09347,8.175048,-2.757606676277959,-1.634999999999998,2.757606676277959,-5.290323323722042,3.851735,7.875911323722043,7.972367,7.250159999999999,1.858352528309922,10.906655900261509,-5.391807471690078
2026-07-06,185.8522311504467,16.158,6.997490000000001,8.3956,18.470145,-5.313933593046613,-3.1099999999999994,5.313933593046613,-1.6835564069533877,4.082427,18.441811406953384,9.740798999999999,7.4921671428571415,2.864842250013209,11.059729607129649,-4.627324892843933
2026-07-07,189.13779389780018,18.957,4.00868,8.29734,18.426333,3.285562747353481,2.7989999999999995,-3.285562747353481,-7.294242747353481,4.07301,32.80823574735348,11.256494285714284,6.760155714285714,1.5474066994252829,14.686544729146146,-5.212749014860431
2026-07-08,186.09129988026405,20.877,16.082420000000003,6.13383,3.851735,-3.0464940175361335,1.9199999999999982,3.0464940175361335,-13.03592598246387,8.790801,8.859070982463864,10.632135571428572,8.056412857142858,1.2237604054062103,15.183308023165216,-6.832652451736648
2026-07-09,185.7001776535507,20.056,3.9761300000000004,3.57512,4.082427,-0.3911222267133496,-0.820999999999998,0.3911222267133496,-3.5850077732866508,3.921496,6.4454247732866525,10.037630857142858,7.76874,1.3746454085519662,13.349108305733749,-6.394094591448035
2026-07-10,190.10746497042174,18.13,1.6763399999999997,5.97261,4.07301,4.407287316871049,-1.926000000000002,-4.407287316871049,-6.083627316871048,8.260829,12.526907316871046,9.173985142857143,6.256912857142858,0.8934045686767556,13.082004859894672,-5.363508288466102
2026-07-11,192.72471952185714,17.769,7.8789,9.64484,8.790801,2.617254551435394,-0.36100000000000065,-2.617254551435394,-10.496154551435394,6.812304,20.691895551435394,9.40992842857143,6.952555714285715,0.17129312827344734,15.37846530029798,-6.781262586012267
2026-07-12,193.08892374861566,17.605,5.040609999999999,2.07466,3.921496,0.3642042267585168,-0.16399999999999793,-0.3642042267585168,-5.404814226758516,6.080925,6.196360226758518,8.802278142857142,6.522938571428571,-0.2746798578746206,15.13852942930319,-6.797618429303192
2026-07-13,189.02677424166367,19.58,4.05574,4.20505,8.260829,-4.062149506951982,1.9749999999999979,4.062149506951982,0.00640950695198228,2.000002,10.378729493048015,7.343804428571429,6.102688571428572,-0.4535061558881393,13.986660584459568,-6.5561947273167105
2026-07-14,189.89303436651585,19.58,7.186640000000001,5.13311,6.812304,0.8662601248521753,0.0,-0.8662601248521753,-8.052900124852176,2.646243,12.811674124852175,5.684657428571429,6.5566828571428575,-0.10789149553080993,11.130008924102238,-6.664574352673667
2026-07-15,189.7404505663823,16.977,3.99643,7.12401,6.080925,-0.15258380013355577,-2.602999999999998,0.15258380013355577,-3.8438461998664444,1.979994,10.449351199866445,6.003113142857144,4.830112857142857,-0.5213072408740353,11.357191812302606,-5.3514200980168924
2026-07-16,190.92989955514992,16.894,6.663089999999999,4.019360000000001,2.000002,1.189448988767623,-0.08300000000000196,-1.189448988767623,-7.852538988767622,5.960003,7.125810988767622,5.705623857142856,5.213964285714285,-0.7471031287998885,11.454389843085602,-5.961067414514174
2026-07-17,191.09459292899334,12.567,8.974110000000001,10.537,2.646243,0.16469337384341998,-4.326999999999998,-0.16469337384341998,-9.138803373843421,4.098006,9.020936373843423,5.5017999999999985,6.256502857142857,-0.1410182797959416,10.953536851224515,-6.397521136938798
2026-07-18,202.24691348815566,12.567,5.960049999999999,8.15832,1.979994,11.15232055916232,0.0,-11.15232055916232,-17.11237055916232,1.986831,21.29063455916232,4.528827571428572,5.982381428571429,-1.360313423756931,11.039070995185503,-7.342694852328359
2026-07-19,204.6298334542809,12.567,2.5603500000000006,6.90764,5.960003,2.3829199661252574,0.0,-2.3829199661252574,-4.943269966125258,0.0,15.250562966125258,4.820042857142857,5.628058571428572,-1.6487013865236082,12.33252852938075,-7.27675995795218
2026-07-20,204.83225296921376,12.567,8.261309999999998,12.820219999999999,4.098006,0.20241951493284205,0.0,-0.20241951493284205,-8.46372951493284,3.95651,17.12064551493284,4.225353857142857,6.228854285714285,-2.2579255325071546,13.295659389650012,-8.48677981822144
2026-07-21,204.3821694087061,12.567,1.96,2.62969,1.986831,-0.4500835605076645,0.0,0.4500835605076645,-1.5099164394923354,3.960001,4.166437439492336,3.536000571428571,5.482191428571428,-2.069876434598606,12.06062557745575,-7.552067863170033
2026-07-22,205.56078201752177,13.6,1.8999999999999995,3.12286,0.0,1.1786126088156834,1.0329999999999995,-1.1786126088156834,-3.078612608815683,4.008678,5.334472608815683,2.667297,5.182701428571428,-2.260047350162783,11.329928635877067,-7.442748778734211
2026-07-23,205.1753113278911,13.633,2.7763100000000005,7.67412,3.95651,-0.3854706896306652,0.032999999999999474,0.3854706896306652,-2.3908393103693353,0.0,11.278159310369334,2.9467981428571433,4.627447142857143,-2.0350588246773134,11.923121253248743,-6.6625059675344565
2026-07-24,205.9513910674877,13.587,4.57392,4.17152,3.960001,0.7760797395965824,-0.045999999999999375,-0.7760797395965824,-5.349999739596583,0.0,8.861600739596582,3.134477857142857,3.998848571428571,-2.122399734070622,11.90035901978491,-6.1212483054991935
2026-07-25,208.19924035965468,13.55,5.734859999999999,8.8527,4.008678,2.2478492921669897,-0.036999999999999034,-2.2478492921669897,-7.982709292166989,4.080426,15.07222729216699,3.4242898571428575,3.966678571428571,-0.8503324102141464,11.01201512449986,-4.817010981642717
2026-07-26,209.6607504104094,16.683,0.5603499999999997,6.42089,0.0,1.4615100507547254,3.132999999999999,-1.4615100507547254,-2.021860050754725,3.99084,11.015400050754725,2.5728608571428575,3.6809642857142855,-0.7187024223040704,10.4069918508755,-4.399666708018356
2026-07-27,209.53742719667315,16.683,0.0,5.15919,0.0,-0.12332321373625632,0.0,0.12332321373625632,0.12332321373625632,3.064421,5.035866786263743,1.9874314285714285,2.500777142857143,-0.6721677467799135,8.680594889637057,-3.1729448896370562
2026-07-28,207.95771614606417,16.431,3.8054700000000015,4.91076,4.080426,-1.579711050608978,-0.2519999999999989,1.579711050608978,-2.2257589493910235,8.954193,7.159474949391023,2.2865164285714283,2.764415714285714,-0.5107923910511545,9.10817167676544,-3.2752081053368687
2026-07-29,207.8305109662545,16.49,5.4467300000000005,5.330500000000001,3.99084,-0.12720517980966406,0.0589999999999975,0.12720517980966406,-5.3195248201903365,0.751324,9.253134820190335,2.8566364285714285,3.2710914285714288,-0.32424699267610485,9.667980564104676,-3.5953384212475337
2026-07-30,208.75610088309466,14.447,5.053639999999998,5.90803,3.064421,0.9255899168401527,-2.0429999999999993,-0.9255899168401527,-5.979229916840151,3.032606,7.855040916840153,2.7291951428571433,3.5964242857142854,-0.5115413650290789,9.178963650743365,-4.107965650743364
2026-07-31,207.3020530055331,16.384,3.6737300000000004,1.259,8.954193,-1.4540478775615497,1.9370000000000012,1.4540478775615497,-2.2196821224384506,5.966583,10.696145122438452,3.442651142857143,3.467825714285714,-0.19295170543505996,9.441041419720774,-3.660777419720774
