date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-23,2026-06-19,-3191.7910517583155,1816.547048887857,4131.88,-940.0889482416846
2026-06-24,2026-06-23,-777.7399607623364,803.8036248984142,2000.0,-1222.2600392376635
2026-06-25,2026-06-24,-73.6426993899217,1280.6486165986178,0.0,73.6426993899217
2026-06-28,2026-06-25,-2826.2007134700284,1529.855307793744,0.0,2826.2007134700284
2026-06-29,2026-06-28,-152.58369699778171,1243.0612441138503,0.0,152.58369699778171
2026-07-01,2026-06-29,-2063.834138559529,1606.5570117561222,0.0,2063.834138559529
2026-07-05,2026-07-01,-1899.8720936732263,1431.7192441895447,6119.18,-4219.307906326774
2026-07-07,2026-07-05,-2155.7824446345694,1624.409079397589,2051.74,104.04244463456962
2026-07-11,2026-07-07,-1863.91562109756,3552.8050409685648,0.0,1863.91562109756
2026-07-13,2026-07-11,-2548.3771740806824,1160.5086701607065,2000.0,548.3771740806824
2026-07-17,2026-07-13,-1821.2099025445464,2910.187612680171,3079.29,-1258.0800974554536
2026-07-19,2026-07-17,-1906.2964727891062,2185.3011326745655,4000.0,-2093.7035272108938
2026-07-23,2026-07-19,-2961.350973977401,3294.9834541822843,4084.0,-1122.6490260225992
2026-07-25,2026-07-23,-1398.5405462335991,1798.417188942834,2000.0,-601.4594537664009
2026-07-29,2026-07-25,-3250.5594774143174,2909.439891768149,4132.2,-881.6405225856824
2026-07-31,2026-07-29,-1526.6178615766266,1690.4108165075588,0.0,1526.6178615766266
2026-08-04,2026-07-31,-2687.789229245318,2724.5853155239342,2000.0,687.789229245318
2026-08-06,2026-08-04,-2027.3631237602585,1412.893286671123,4000.0100000000007,-1972.6468762397421
2026-08-10,2026-08-06,-3497.973810805656,1769.977919070302,4000.0100000000007,-502.03618919434484
2026-08-12,2026-08-10,-1324.9224158720594,1673.0729410685142,2000.0,-675.0775841279406
