date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-23,2026-06-19,-6881.630748164307,5563.128043248242,4131.88,2749.750748164307
2026-06-24,2026-06-23,-2553.69779016758,2080.693957938588,2000.0,553.69779016758
2026-06-25,2026-06-24,-1482.2145761654922,2924.033431433271,0.0,1482.2145761654922
2026-06-28,2026-06-25,-6769.55783898552,4163.510433402462,0.0,6769.55783898552
2026-06-29,2026-06-28,-1678.0441113600632,2904.8974658401858,0.0,1678.0441113600632
2026-07-01,2026-06-29,-5881.417107167755,4407.4023975080745,0.0,5881.417107167755
2026-07-05,2026-07-01,-4949.88380512137,5768.385432239631,6119.18,-1169.2961948786306
2026-07-07,2026-07-05,-4966.988808599556,4712.552440165942,2051.74,2915.2488085995565
2026-07-11,2026-07-07,-5840.96797267171,8210.020737123872,0.0,5840.96797267171
2026-07-13,2026-07-11,-5101.984713633163,4050.6640122057074,2000.0,3101.9847136331628
2026-07-17,2026-07-13,-6152.362639163066,6846.233519819981,3079.29,3073.072639163066
2026-07-19,2026-07-17,-4400.1712613221325,5104.927206044307,4000.0,400.1712613221325
2026-07-23,2026-07-19,-7530.207250696433,7489.767911503863,4084.0,3446.207250696433
2026-07-25,2026-07-23,-4587.584926962386,4916.48771188155,2000.0,2587.584926962386
2026-07-29,2026-07-25,-7182.4323673167455,6737.672961658899,4132.2,3050.2323673167457
2026-07-31,2026-07-29,-4199.801841635074,3923.6462449892133,0.0,4199.801841635074
2026-08-04,2026-07-31,-6531.148751869888,6950.749270919222,2000.0,4531.148751869888
2026-08-06,2026-08-04,-4827.680399340937,4030.5622596471694,4000.0100000000007,827.670399340936
2026-08-10,2026-08-06,-7023.5264805005145,4959.889196885665,4000.0100000000007,3023.516480500514
2026-08-12,2026-08-10,-4025.2614656732535,4509.306218425598,2000.0,2025.2614656732535
