date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-01-04,2026-01-01,-2199.091404296959,1209.323721143819,3991.63,-1792.5385957030412
2026-01-07,2026-01-04,-1350.558667244714,2238.216788071951,1346.0900000000001,4.4686672447137425
2026-01-10,2026-01-07,-1600.356046412855,630.0312715516677,2749.99,-1149.6339535871448
2026-01-13,2026-01-10,-970.5119680592926,1523.7952686680119,1300.0,-329.4880319407074
2026-01-16,2026-01-13,-1863.8891950879356,740.4977131365061,3749.99,-1886.1008049120642
2026-01-19,2026-01-16,-325.05216425143306,2288.2522989801155,0.0,325.05216425143306
2026-01-25,2026-01-19,-1013.8674614290225,925.3552201667347,3750.0,-2736.1325385709774
2026-01-28,2026-01-25,-1400.5095132475371,950.7965303198639,3765.16,-2364.6504867524627
2026-01-31,2026-01-28,-1433.8764840999543,1925.909861090693,2459.39,-1025.5135159000456
2026-02-03,2026-01-31,-2343.858108235011,1563.6065693169458,2650.0,-306.14189176498894
2026-02-06,2026-02-03,-1424.3601818753457,1915.2878159642387,900.0,524.3601818753457
2026-02-09,2026-02-06,-2010.8196292781945,1527.7398495086893,2906.54,-895.7203707218055
2026-02-12,2026-02-09,-1671.2242970289333,1529.3273375658164,2300.0,-628.7757029710667
2026-02-15,2026-02-12,-1772.5673715929875,1736.4088854064057,2650.0,-877.4326284070125
2026-02-18,2026-02-15,-1237.9842784254563,1772.296868493741,1499.99,-262.0057215745437
2026-02-21,2026-02-18,-2304.5164583232113,1307.2056947739165,2895.94,-591.4235416767888
2026-02-24,2026-02-21,-392.1545997714662,2171.1274778016796,950.0,-557.8454002285338
2026-02-27,2026-02-24,-1759.221751225977,879.1460601039125,2353.6000000000004,-594.3782487740234
2026-03-02,2026-02-27,-1592.0969159603899,1684.6252332244785,2330.0,-737.9030840396101
2026-03-05,2026-03-02,-1620.9044391755895,1293.958518558141,2500.0,-879.0955608244105
2026-03-08,2026-03-05,-2069.461678908578,1037.593549876085,1600.0,469.46167890857805
2026-03-11,2026-03-08,-497.93944957991005,411.3642125789698,0.0,497.93944957991005
2026-03-14,2026-03-11,-1027.8843475964384,523.5800029079945,0.0,1027.8843475964384
2026-03-17,2026-03-14,-1050.6585569880701,210.11408926571053,0.0,1050.6585569880701
2026-03-20,2026-03-17,-168.44749740746167,623.3342081854747,0.0,168.44749740746167
2026-03-23,2026-03-20,-498.39358734808786,826.2000592050872,0.0,498.39358734808786
2026-03-26,2026-03-23,-712.5523697627032,588.729931504236,0.0,712.5523697627032
2026-03-29,2026-03-26,-549.0636556892048,504.07439294135344,0.0,549.0636556892048
2026-04-01,2026-03-29,-211.14803237628223,994.2094592514591,0.0,211.14803237628223
2026-04-04,2026-04-01,-909.2003830408231,134.80994612133122,600.0,309.2003830408231
2026-04-07,2026-04-04,-361.02518630590964,729.2284050932725,0.0,361.02518630590964
2026-04-10,2026-04-07,-510.5993068905772,500.119568536831,0.0,510.5993068905772
2026-04-13,2026-04-10,-92.66082480033755,961.8941336387372,300.0,-207.33917519966246
2026-04-16,2026-04-13,-1224.0760039522515,528.0086214038873,0.0,1224.0760039522515
2026-04-19,2026-04-16,-698.0097259220852,582.6941345416191,1900.0,-1201.9902740779148
2026-04-22,2026-04-19,-886.5336454810329,1149.2457997616366,0.0,886.5336454810329
2026-04-25,2026-04-22,-588.5410743104949,1295.1321209539556,499.98,88.56107431049486
2026-04-28,2026-04-25,-893.5442426417209,1554.0208300683103,1899.99,-1006.4457573582791
2026-05-01,2026-04-28,-1678.7232831865058,1043.5674396187437,0.0,1678.7232831865058
2026-05-04,2026-05-01,-1561.5552346768407,1351.626533737736,0.0,1561.5552346768407
2026-05-07,2026-05-04,-253.20619725662732,1276.458276575489,0.0,253.20619725662732
2026-05-08,2026-05-07,-574.2744864154475,231.02980110779401,0.0,574.2744864154475
2026-05-11,2026-05-08,-69.81997047952838,577.1885816849185,0.0,69.81997047952838
2026-05-13,2026-05-11,-2304.1474825378486,853.3783458378808,0.0,2304.1474825378486
2026-05-16,2026-05-13,-903.7357679231927,707.2516949844189,2000.0,-1096.2642320768073
2026-05-19,2026-05-16,-1067.4261237120038,2420.2586327111135,2000.0,-932.5738762879962
2026-05-20,2026-05-19,-1708.3383663198833,864.4597947325187,0.0,1708.3383663198833
2026-05-22,2026-05-20,-255.5752247231428,1285.0033646031611,1300.0,-1044.4247752768572
2026-05-23,2026-05-22,-688.459501796523,447.5231303076375,0.0,688.459501796523
2026-05-25,2026-05-23,-903.579835646741,1310.008899765103,0.0,903.579835646741
2026-05-28,2026-05-25,-1989.5889859049662,958.157892376792,2000.0,-10.411014095033806
2026-05-31,2026-05-28,-1155.5451949654578,2122.861936696063,1900.0,-744.4548050345422
2026-06-03,2026-05-31,-2172.597648826685,1180.1060005978488,2000.0,172.59764882668514
2026-06-04,2026-06-03,-203.19722916028508,525.3664534831724,0.0,203.19722916028508
2026-06-06,2026-06-04,-643.0209126005227,1923.3988671491352,0.0,643.0209126005227
2026-06-09,2026-06-06,-1625.830602215866,763.7822992255591,2000.0,-374.16939778413393
2026-06-13,2026-06-09,-1381.0241492965206,1001.2869652405694,3085.79,-1704.7658507034794
2026-06-16,2026-06-13,-650.2846373863748,1536.4074007804616,1865.62,-1215.335362613625
2026-06-18,2026-06-16,-1052.363495240438,1005.3062617386789,0.0,1052.363495240438
2026-06-21,2026-06-18,-2013.0539561234473,78.17494202603173,2009.1900000000003,3.8639561234469966
2026-06-25,2026-06-21,-738.8646498957851,537.5526273952152,2002.6999999999998,-1263.8353501042147
2026-06-28,2026-06-25,-121.12823292758442,1766.0993340383175,2087.13,-1966.0017670724158
2026-07-01,2026-06-28,-1390.3606677740909,157.98085139814614,4009.1900000000005,-2618.8293322259096
2026-07-04,2026-07-01,-1017.8323974328024,821.5262766814461,2099.41,-1081.5776025671976
