date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-01-04,2026-01-01,-291.8352371088646,583.7962697048156,650.0,-358.1647628911354
2026-01-07,2026-01-04,-1236.4201231844418,283.55322750578614,1250.0,-13.579876815558237
2026-01-10,2026-01-07,-352.4365649825047,569.2073483615791,900.0,-547.5634350174953
2026-01-13,2026-01-10,-125.25037305964679,1192.2210943665868,0.0,125.25037305964679
2026-01-16,2026-01-13,-336.2828568110648,1427.4472425955169,400.0,-63.71714318893521
2026-01-19,2026-01-16,-1801.2633340788425,312.04661212643146,2185.85,-384.5866659211574
2026-01-25,2026-01-19,-113.67018210185452,1228.7439525786108,1200.0,-1086.3298178981454
2026-01-28,2026-01-25,-1021.4759188388077,127.16925415921905,1299.99,-278.5140811611923
2026-01-31,2026-01-28,-117.81449975532179,1339.424198036031,250.0,-132.18550024467822
2026-02-03,2026-01-31,-445.3171463811233,229.99525927082638,250.0,195.31714638112328
2026-02-06,2026-02-03,-1407.5717866143052,114.19967443348622,1400.0,7.571786614305211
2026-02-09,2026-02-06,-824.977566036847,414.6828372721113,1500.0,-675.022433963153
2026-02-12,2026-02-09,-369.12980062021256,1035.6019988474627,700.0,-330.87019937978744
2026-02-15,2026-02-12,-854.2504609175844,1209.0150550102683,906.53,-52.27953908241557
2026-02-18,2026-02-15,-376.2954632547144,716.7842087865699,700.0,-323.7045367452856
2026-02-21,2026-02-18,-986.8435989792813,481.47144321526446,1650.0,-663.1564010207187
2026-02-24,2026-02-21,-172.06380801831745,691.7470441043832,0.0,172.06380801831745
2026-02-27,2026-02-24,-1559.1233494084393,134.4866528688217,2250.42,-691.2966505915608
2026-03-02,2026-02-27,-134.99999154625593,1081.02449712405,0.0,134.99999154625593
2026-03-05,2026-03-02,-384.3884447830959,356.96990203334065,0.0,384.3884447830959
2026-03-08,2026-03-05,-423.5298610634512,367.6211392928341,0.0,423.5298610634512
2026-03-11,2026-03-08,-74.27956151296533,997.0673885977199,0.0,74.27956151296533
2026-03-14,2026-03-11,-666.1714585421015,559.2388129250755,0.0,666.1714585421015
2026-03-17,2026-03-14,-997.4791819773409,171.04350736157426,0.0,997.4791819773409
2026-03-20,2026-03-17,-853.487803271685,326.4491824413094,1800.0,-946.512196728315
2026-03-23,2026-03-20,-422.2563117920454,289.384864308549,0.0,422.2563117920454
2026-03-26,2026-03-23,-384.7556325523567,390.30769675394953,0.0,384.7556325523567
2026-03-29,2026-03-26,-363.04841162185863,462.8515173512245,0.0,363.04841162185863
2026-04-01,2026-03-29,-495.7371894532204,329.0462753150912,0.0,495.7371894532204
2026-04-04,2026-04-01,-354.5772058020284,477.4243542735642,0.0,354.5772058020284
2026-04-07,2026-04-04,-280.1727954694531,571.6089180034985,0.0,280.1727954694531
2026-04-10,2026-04-07,-259.1135296878906,458.628674840012,0.0,259.1135296878906
2026-04-13,2026-04-10,-176.3704248391433,1024.2655713032304,0.0,176.3704248391433
2026-04-16,2026-04-13,-332.45406684978525,398.1671581194437,0.0,332.45406684978525
2026-04-19,2026-04-16,-341.155114383429,408.0339617307719,0.0,341.155114383429
2026-04-22,2026-04-19,-1253.0977651200449,425.19150874974207,0.0,1253.0977651200449
2026-04-25,2026-04-22,-1105.7859157957002,146.80384935396904,0.0,1105.7859157957002
2026-04-28,2026-04-25,-68.66555273407715,832.165508497173,0.0,68.66555273407715
2026-05-01,2026-04-28,-553.8738369590845,525.3447817064313,0.0,553.8738369590845
2026-05-04,2026-05-01,-396.5097284945059,1458.7115590185078,0.0,396.5097284945059
2026-05-07,2026-05-04,-1278.3220471934942,138.1147008722659,0.0,1278.3220471934942
2026-05-08,2026-05-07,-353.43869435751407,7.847273879584333,0.0,353.43869435751407
2026-05-11,2026-05-08,-347.03985544801304,434.80783573528305,0.0,347.03985544801304
2026-05-13,2026-05-11,-397.7789595414501,347.2228218883312,0.0,397.7789595414501
2026-05-16,2026-05-13,-335.06238955310306,557.6066902646345,0.0,335.06238955310306
2026-05-19,2026-05-16,-502.0618741142243,1329.305632101104,0.0,502.0618741142243
2026-05-20,2026-05-19,-363.4612848324585,134.66559695735953,0.0,363.4612848324585
2026-05-22,2026-05-20,-478.22614500543807,589.5340186407896,0.0,478.22614500543807
2026-05-23,2026-05-22,-1.407813721542072,646.0838980176405,1900.0,-1898.592186278458
2026-05-25,2026-05-23,-306.0014440833137,934.777981107226,0.0,306.0014440833137
