date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-19,2026-06-18,-506.32159059748324,1434.9876205137907,0.0,506.32159059748324
2026-06-23,2026-06-19,-1764.1770268761516,1389.6055060807162,0.0,1764.1770268761516
2026-06-26,2026-06-23,-2341.9356530318673,3531.9514920237048,2000.0,341.93565303186733
2026-06-30,2026-06-26,-3204.2725648702817,1352.2432986507642,3999.99,-795.7174351297181
2026-07-02,2026-06-30,-2149.539409404034,2571.206922329561,3039.31,-889.770590595966
2026-07-06,2026-07-02,-1655.930351826592,3722.54511139657,2073.01,-417.07964817340826
2026-07-08,2026-07-06,-2768.902454287394,2939.0980669116193,2065.7,703.2024542873942
2026-07-12,2026-07-08,-1688.572026672746,1983.170426817124,4755.92,-3067.3479733272543
2026-07-14,2026-07-12,-2934.469196011334,2949.2398570670593,4055.7400000000002,-1121.270803988666
2026-07-18,2026-07-14,-2137.591863533334,6962.019218577953,2000.0,137.59186353333416
2026-07-20,2026-07-18,-1459.0658485451174,2271.342926213858,0.0,1459.0658485451174
2026-07-24,2026-07-20,-1637.0848800355525,2733.2897801098306,0.0,1637.0848800355525
2026-07-26,2026-07-24,-799.8708142185492,1486.8400149780086,0.0,799.8708142185492
2026-07-30,2026-07-26,-2591.7038881990447,2430.890071143373,0.0,2591.7038881990447
2026-08-01,2026-07-30,-988.2758337197756,1374.7442385426675,0.0,988.2758337197756
2026-08-05,2026-08-01,-2240.4716023144947,1328.1043594967136,0.0,2240.4716023144947
2026-08-07,2026-08-05,-1433.5106534233967,1482.7020628659898,0.0,1433.5106534233967
2026-08-11,2026-08-07,-2229.24284443342,1434.2300698789604,0.0,2229.24284443342
