date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-06-19,2026-06-18,-579.3922890982609,766.583148406567,0.0,579.3922890982609
2026-06-23,2026-06-19,-7234.31736993646,639.0914418536684,7176.48,57.83736993646016
2026-06-26,2026-06-23,-1662.500978107565,2021.0481318436173,1745.1,-82.59902189243485
2026-06-30,2026-06-26,-4580.94738946756,1806.42874520869,5599.82,-1018.8726105324395
2026-07-02,2026-06-30,-1024.4736096352524,1924.6006025014115,0.0,1024.4736096352524
2026-07-06,2026-07-02,-3707.828249723832,1782.7796188356722,6140.56,-2432.7317502761684
2026-07-08,2026-07-06,-3601.0204081922716,836.9247344896601,5941.5,-2340.4795918077284
2026-07-12,2026-07-08,-1282.69642306235,3136.690337224199,2000.0,-717.30357693765
2026-07-14,2026-07-12,-1877.907783627503,1975.4906357373964,3083.34,-1205.4322163724971
2026-07-18,2026-07-14,-663.2421163616588,4339.206340967923,4047.65,-3384.4078836383414
2026-07-20,2026-07-18,-1416.261369320357,1920.987503027544,247.01,1169.251369320357
2026-07-24,2026-07-20,-878.4463377317471,1931.2270717046688,0.0,878.4463377317471
2026-07-26,2026-07-24,-1404.0237667964097,1353.9212154577792,560.35,843.6737667964097
2026-07-30,2026-07-26,-1731.9406056024015,1465.5692722863043,0.0,1731.9406056024015
2026-08-01,2026-07-30,-1064.2095559701422,1091.3563084012856,751.32,312.88955597014217
2026-08-05,2026-08-01,-1410.7864344115665,1898.0319990765488,0.0,1410.7864344115665
2026-08-07,2026-08-05,-728.896151134955,944.8915486296181,0.0,728.896151134955
2026-08-11,2026-08-07,-943.8679393788265,1001.0398992850849,0.0,943.8679393788265
2026-08-13,2026-08-11,-1053.541299999587,846.5053069372597,0.0,1053.541299999587
