date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-01-18,2026-01-06,-821.5079316973394,1796.9043427809902,0.0,821.5079316973394
2026-01-30,2026-01-18,-1715.9709367213648,1371.514168056935,0.0,1715.9709367213648
2026-02-11,2026-01-30,-1469.2190038618778,1786.5919765662738,0.0,1469.2190038618778
2026-02-23,2026-02-11,-2545.309403437892,1602.6409728908986,0.0,2545.309403437892
2026-03-07,2026-02-23,-1711.7856359328498,2153.781249618606,4130.55,-2418.7643640671504
2026-03-19,2026-03-07,-1793.5387614272565,1733.0239276652944,13130.93,-11337.391238572744
2026-03-31,2026-03-19,-758.9638697171881,1054.6399585817383,23606.260000000002,-22847.296130282815
2026-04-12,2026-03-31,-2092.5898824624533,223.1414936475175,25084.96,-22992.370117537546
2026-04-24,2026-04-12,-1117.8368108839045,1464.7039077861104,24577.97,-23460.133189116095
2026-04-25,2026-04-24,-1493.1575469144298,1612.0711343669527,2121.77,-628.6124530855702
2026-05-06,2026-04-25,-1151.9586778830792,1308.8536167429647,22039.24,-20887.281322116924
2026-05-07,2026-05-06,-1619.4447759994885,1887.0142636257926,0.0,1619.4447759994885
2026-05-18,2026-05-07,-1929.2144098595247,1254.8620030964273,19101.78,-17172.565590140475
2026-05-19,2026-05-18,-1224.7081509357156,1531.6822489002625,0.0,1224.7081509357156
2026-05-30,2026-05-19,-1765.0074974213153,2387.1937581031866,16350.14,-14585.132502578685
2026-06-12,2026-05-30,-2063.3507552588108,1603.664629634667,24230.82,-22167.469244741187
2026-06-24,2026-06-12,-1055.944859064874,1474.09482866431,18880.04,-17824.095140935126
2026-06-30,2026-06-24,-1392.4495430251184,949.8029653678008,13189.940000000002,-11797.490456974883
2026-07-12,2026-06-30,-346.67405538431683,3575.0131480212603,21096.55,-20749.875944615684
2026-07-24,2026-07-12,-2941.7828964530427,1257.2227157801572,24013.3,-21071.517103546958
2026-08-05,2026-07-24,-1085.1968439603952,3083.2833555310285,13576.8,-12491.603156039604
