date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-01-04,2026-01-01,-2690.166320016857,1284.3344713962542,4350.63,-1660.4636799831433
2026-01-07,2026-01-04,-1855.504664270514,3432.4422997637685,3550.0,-1694.495335729486
2026-01-10,2026-01-07,-1973.732399080098,1690.0081210704761,4500.0,-2526.267600919902
2026-01-13,2026-01-10,-1474.403239528599,2092.669400957204,2550.0,-1075.596760471401
2026-01-16,2026-01-13,-2800.8351724402937,2835.262733594417,3056.92,-256.08482755970635
2026-01-19,2026-01-16,-3577.6530403904235,2285.6586499608147,4999.99,-1422.3369596095763
2026-01-25,2026-01-19,-1264.7752493751386,883.0156483698026,9749.99,-8485.214750624862
2026-01-28,2026-01-25,-2204.4692119274077,2352.094328176623,5749.99,-3545.520788072592
2026-01-31,2026-01-28,-1125.6918401143555,2173.8827910434925,2400.0,-1274.3081598856445
2026-02-03,2026-01-31,-2092.041423820285,1994.6212885342532,3000.0,-907.9585761797148
2026-02-06,2026-02-03,-1665.8814408511798,1010.3165163879239,4550.0,-2884.11855914882
2026-02-09,2026-02-06,-2550.9094561635766,1753.5738858571058,4749.99,-2199.080543836423
2026-02-12,2026-02-09,-1533.5315066381859,3693.713812968227,950.0,583.5315066381859
2026-02-15,2026-02-12,-1828.902334126292,2082.7506218737212,5600.0,-3771.097665873708
2026-02-18,2026-02-15,-3102.339808456924,2728.684838999935,820.0,2282.339808456924
2026-02-21,2026-02-18,-1904.0995200753323,2826.0305375189364,3499.99,-1595.8904799246675
2026-02-24,2026-02-21,-3349.0279734203714,1475.9956765800694,5134.11,-1785.0820265796283
2026-02-27,2026-02-24,-1931.5249504199166,3332.4856629746687,3457.26,-1525.7350495800836
2026-03-02,2026-02-27,-2970.392520389349,1679.8409971226044,5999.99,-3029.5974796106507
2026-03-05,2026-03-02,-1094.9398005227577,2348.024800946356,0.0,1094.9398005227577
2026-03-08,2026-03-05,-2821.357361952699,1824.5315163110147,0.0,2821.357361952699
2026-03-11,2026-03-08,-100.47569522030477,779.7977631485467,0.0,100.47569522030477
2026-03-14,2026-03-11,-3383.2989788601003,469.0830746327256,0.0,3383.2989788601003
2026-03-17,2026-03-14,-278.148509021871,96.31597119661478,0.0,278.148509021871
2026-03-20,2026-03-17,-138.0040877144311,899.4411749250982,1600.0,-1461.995912285569
2026-03-23,2026-03-20,-1150.6885963988088,624.8445168253601,0.0,1150.6885963988088
2026-03-26,2026-03-23,-490.6581425503194,1423.7936248553292,0.0,490.6581425503194
2026-03-29,2026-03-26,-31.855406092916848,2492.7188124450245,0.0,31.855406092916848
2026-04-01,2026-03-29,-2891.783261503014,73.13742927354622,0.0,2891.783261503014
2026-04-04,2026-04-01,-2145.8042716738855,984.5200294945558,0.0,2145.8042716738855
