as_of,imo,vessel_name,bucket,soh_pos,reason,last_cross_ts,last_cross_dir,loading_state_soh,cargo_group,crossing_type,last_load_ts,last_load_end_ts,last_load_origin,last_load_dest,last_load_status,last_load_source,origin_bucket,dest_bucket,grade,berth_confirmed,volume_bbl,days_inside,days_since_load,days_load_to_exit,expected_lag_days,alert_lag_days,afra_class,deadweight,fleet,sanctioned_iran,sanctioned_sdn,is_dark_route,crude_relevant,watchlist,sts_flag,sts_role,sts_zone,sts_ts,sts_lag_days,sts_counterparty,sts_counterparty_imo,sts_volume_bbl
2026-08-16,9406166,GRAND LADY,exit_no_load,outside,SoH laden crude exit on 2026-08-04 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-08-04,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-01 00:00:00,2026-07-01 00:00:00,Al Basrah,Ain Sukhna,Delivered,trade,inside_gulf,outside,Basrah,1.0,1074079.0,,46.0,34.0,3.0,7.0,VLCC,299999.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-07 00:00:00,3,Giannis,9432050,1074079
2026-08-16,9928009,HAFEET,exit_no_load,outside,SoH laden crude exit on 2026-07-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-23,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-01 15:59:00,2026-07-01 15:59:00,Umm Lulu,Sriracha,Delivered,trade,inside_gulf,outside,Umm Lulu,1.0,1996461.0,,46.0,22.0,3.0,7.0,VLCC,299425.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-05 00:00:00,13,Monaco Loyalty,9312511,1996461
2026-08-16,9324100,VADIN,exit_no_load,outside,SoH laden crude exit on 2026-08-10 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-08-10,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-06 01:33:00,2026-07-06 01:33:00,Mina Al-Ahmadi,Made Island,Delivered,trade,inside_gulf,outside,Kuwait,1.0,2000002.0,,41.0,35.0,3.0,7.0,VLCC,302478.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-12 19:19:00,2,Front Spey,1087500,2000002
2026-08-16,9330563,SANMAR HERALD,exit_no_load,outside,SoH laden crude exit on 2026-06-20 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-20,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2005393.0,,,,3.0,7.0,VLCC,309000.0,clean fleet,False,False,1.0,True,True,unknown_partner,receiver,Gulf of Oman,2026-07-27 00:00:00,37,,,1999996
2026-08-16,9358280,PLATA CARRIER,exit_no_load,outside,SoH laden crude exit on 2026-06-24 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-24,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,2057944.0,,,,3.0,7.0,VLCC,307284.0,clean fleet,False,False,0.0,True,True,giver_after_exit,giver,Fujairah Light,2026-08-15 00:00:00,52,Bahamas Prosperity,9327114,1959999
2026-08-16,9567659,OMEGA TRADER,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,1990649.0,,,,3.0,7.0,VLCC,305206.0,clean fleet,False,False,0.0,True,True,giver_after_exit,giver,Fujairah Light,2026-08-05 00:00:00,30,Umm Al Aish,9534781,2000002
2026-08-16,9785835,MONTE URBASA,exit_no_load,outside,SoH laden crude exit on 2026-06-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-23,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,999998.0,,,,3.0,7.0,LR2,156400.0,clean fleet,False,False,1.0,True,True,giver_after_exit,giver,Fujairah Light,2026-07-25 18:39:00,32,Nissos Kea,9920758,1067997
2026-08-16,9759824,AGIOS FANOURIOS I,accounted,outside,Kpler loaded at Al Basrah on 2026-04-20 then SoH laden exit on 2026-05-10.,2026-05-10,Exited MEG,Laden,crude,Iranian Route,2026-04-20 04:57:00,2026-04-20 04:57:00,Al Basrah,NSRP,Delivered,trade,inside_gulf,outside,Basrah Med.,0.0,1966754.0,,118.0,20.0,3.0,7.0,VLCC,303123.0,clean fleet,False,False,0.0,True,False,giver_after_exit,giver,Fujairah Light,2026-06-23 09:59:00,44,V.Advance,9845221,1200001
2026-08-16,9312511,MONACO LOYALTY,accounted,outside,Kpler loaded at FSO Qatar Petroleum Al Shaheen I on 2026-06-01 then SoH laden exit on 2026-06-21.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,2026-06-01 12:54:00,2026-06-01 12:54:00,FSO Qatar Petroleum Al Shaheen I,Linggi Light.,Delivered,trade,inside_gulf,outside,Shaheen,1.0,2057944.0,,76.0,20.0,3.0,7.0,VLCC,307284.0,clean fleet,False,False,1.0,True,False,giver_after_exit,giver,Fujairah Light,2026-08-05 00:00:00,45,Hafeet,9928009,1996461
2026-08-16,9524970,WEDYAN,accounted,outside,Kpler loaded at Ras Tanura on 2026-07-03 then SoH laden exit on 2026-07-11.,2026-07-11,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-03 14:19:00,2026-07-03 14:19:00,Ras Tanura,BORL Jamnagar Oil Terminal,Delivered,trade,inside_gulf,outside,Arab,1.0,1580956.0,,44.0,8.0,3.0,7.0,ULCC,321234.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-07-31 00:00:00,20,Ajwad,9830795,2000002
2026-08-16,9411032,TOGO PROSPERITY,accounted,outside,Kpler loaded at Dubai Light. on 2026-07-05 then SoH laden exit on 2026-07-07.,2026-07-07,Exited MEG,Laden,crude,Omani Route,2026-07-05 13:55:00,2026-07-05 13:55:00,Dubai Light.,,PortCall,portcall,inside_gulf,unknown,Murban,1.0,1900000.0,,42.0,2.0,3.0,7.0,VLCC,318325.0,clean fleet,False,False,0.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-15 00:00:00,39,Vive Ut Vivas,1055387,2000002
2026-08-16,9534004,EGYPT PROSPERITY,accounted,outside,Kpler loaded at Al Basrah on 2026-07-11 then SoH laden exit on 2026-07-15.,2026-07-15,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-11 10:19:00,2026-07-11 10:19:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah,1.0,1959999.0,,36.0,4.0,3.0,7.0,VLCC,318663.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-15 00:00:00,31,Degas,9926673,1959999
2026-08-16,9739501,MOMBASA B,accounted,outside,Kpler loaded at Zirku on 2026-07-11 then SoH laden exit on 2026-07-14.,2026-07-14,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-11 00:00:00,2026-07-11 00:00:00,Zirku,Karachi Keamari,Delivered,trade,inside_gulf,outside,Zakum,1.0,705924.0,,36.0,3.0,3.0,7.0,VLCC,299392.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-05 00:00:00,22,Ocean Loyalty,9375238,2000002
2026-08-16,9723071,FUJAIRAH ENERGY,accounted,outside,Kpler loaded at Al Basrah on 2026-07-12 then SoH laden exit on 2026-07-20.,2026-07-20,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-12 00:53:00,2026-07-12 00:53:00,Al Basrah,FPCC Mailiao Refinery,Delivered,trade,inside_gulf,outside,Basrah Med.,1.0,1040605.0,,35.0,8.0,3.0,7.0,VLCC,299999.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-15 00:00:00,26,Australis,9875783,2000002
2026-08-16,9327114,BAHAMAS PROSPERITY,accounted,outside,Kpler loaded at Al Basrah on 2026-07-20 then SoH laden exit on 2026-08-09.,2026-08-09,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-20 00:00:00,2026-07-20 00:00:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah,1.0,1959999.0,,27.0,20.0,3.0,7.0,VLCC,300246.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-15 00:00:00,6,Plata Carrier,9358280,1959999
2026-08-16,9376749,SURINAME PROSPERITY,accounted,outside,Kpler loaded at Al Basrah on 2026-07-20 then SoH laden exit on 2026-07-30.,2026-07-30,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-20 00:00:00,2026-07-20 00:00:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah Med.,1.0,999998.0,,27.0,10.0,3.0,7.0,VLCC,297556.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-10 18:19:00,11,Baltic Loyalty,9411953,999998
2026-08-16,9534779,DAR SALWA,accounted,outside,Kpler loaded at Mina Al-Ahmadi on 2026-07-20 then SoH laden exit on 2026-07-28.,2026-07-28,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-20 00:00:00,2026-07-20 00:00:00,Mina Al-Ahmadi,Zhanjiang,In Transit,trade,inside_gulf,outside,Kuwait,1.0,2083996.0,,27.0,8.0,3.0,7.0,VLCC,319761.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-09 00:00:00,12,Desh Viraat,9371593,2000002
2026-08-16,9322281,FRANCE C,accounted,outside,Kpler loaded at Zirku on 2026-07-25 then SoH laden exit on 2026-07-29.,2026-07-29,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-25 00:00:00,2026-07-25 00:00:00,Zirku,,In Transit,trade,inside_gulf,unknown,Zakum,1.0,1999996.0,,22.0,4.0,3.0,7.0,VLCC,306506.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-07-31 00:00:00,2,Olympus,9941661,1999996
2026-08-16,9228655,LUCIA A,accounted,outside,Kpler loaded at Al Basrah on 2026-07-28 then SoH laden exit on 2026-07-31.,2026-07-31,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-28 22:57:00,2026-07-28 22:57:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah Med.,1.0,881667.0,,19.0,3.0,3.0,7.0,LR2,159997.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-04 00:17:00,4,Baltic Loyalty,9411953,999998
2026-08-16,9315159,CAMEROON PROSPERITY,accounted,outside,Kpler loaded at Das Island on 2026-08-01 then SoH laden exit on 2026-08-03.,2026-08-03,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-01 00:00:00,2026-08-01 00:00:00,Das Island,Dalian,In Transit,trade,inside_gulf,outside,Das,1.0,1123284.0,,15.0,2.0,3.0,7.0,VLCC,317713.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-07 00:00:00,4,Yuan Yang Hu,9398943,1990001
2026-08-16,9937799,AL BAHYAH,accounted,outside,Kpler loaded at Umm Lulu on 2026-08-01 then SoH laden exit on 2026-08-04.,2026-08-04,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-01 00:00:00,2026-08-01 00:00:00,Umm Lulu,Ulsan,In Transit,trade,inside_gulf,outside,Umm Lulu,1.0,1996002.0,,15.0,3.0,3.0,7.0,VLCC,299425.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-07 00:00:00,3,Maran Mars,9858046,1996002
2026-08-16,9853852,NISSOS KYTHNOS,accounted,outside,Kpler loaded at FSO Qatar Petroleum Al Shaheen II on 2026-08-02 then SoH laden exit on 2026-08-05.,2026-08-05,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-02 17:59:00,2026-08-02 17:59:00,FSO Qatar Petroleum Al Shaheen II,Sikka,In Transit,trade,inside_gulf,outside,Shaheen,1.0,1120064.0,,14.0,3.0,3.0,7.0,VLCC,318744.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-07 17:59:00,2,Front Otra,1116014,2042477
2026-08-16,9534781,UMM AL AISH,accounted,outside,Kpler loaded at Mina Al-Ahmadi on 2026-08-03 then SoH laden exit on 2026-08-04.,2026-08-04,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-03 00:00:00,2026-08-03 00:00:00,Mina Al-Ahmadi,Bataan,In Transit,trade,inside_gulf,outside,Kuwait,1.0,2000002.0,,13.0,1.0,3.0,7.0,VLCC,319634.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-05 00:00:00,1,Omega Trader,9567659,2000002
2026-08-16,9391775,BASRAH ENERGY,accounted,outside,Kpler loaded at Das Island on 2026-08-04 then SoH laden exit on 2026-08-07.,2026-08-07,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-04 00:00:00,2026-08-04 00:00:00,Das Island,Yeosu,In Transit,trade,inside_gulf,outside,Das,1.0,1996461.0,,12.0,3.0,3.0,7.0,VLCC,301583.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-10 00:00:00,3,V.Progress,9845154,1996461
2026-08-16,9419618,NISSOS HERACLEA,accounted,outside,Kpler loaded at Al Basrah on 2026-08-05 then SoH laden exit on 2026-08-08.,2026-08-08,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-05 14:39:00,2026-08-05 14:39:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah,1.0,1100484.0,,11.0,3.0,3.0,7.0,VLCC,313525.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-13 17:18:00,5,Agistri,9597018,859515
2026-08-16,9534808,AL RIQQA,accounted,outside,Kpler loaded at Mina Al-Ahmadi on 2026-08-05 then SoH laden exit on 2026-08-08.,2026-08-08,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-05 00:00:00,2026-08-05 00:00:00,Mina Al-Ahmadi,,In Transit,trade,inside_gulf,unknown,Kuwait,1.0,2000002.0,,11.0,3.0,3.0,7.0,VLCC,319704.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Sohar Light,2026-08-10 00:00:00,2,Aragona,9513115,2000002
2026-08-16,9508859,ROTTERDAM ENERGY,accounted,outside,Kpler loaded at Zirku on 2026-08-08 then SoH laden exit on 2026-08-09.,2026-08-09,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-08 00:00:00,2026-08-08 00:00:00,Zirku,Quanzhou,In Transit,trade,inside_gulf,outside,Zakum,1.0,1986831.0,,8.0,1.0,3.0,7.0,VLCC,296659.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-16 03:39:00,7,Ocean Lily,9284960,1986831
2026-08-16,9595216,CYPRUS PROSPERITY,accounted,outside,Kpler loaded at Umm Lulu on 2026-08-08 then SoH laden exit on 2026-08-12.,2026-08-12,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-08 00:00:00,2026-08-08 00:00:00,Umm Lulu,,In Transit,trade,inside_gulf,unknown,Umm Lulu,1.0,992444.0,,8.0,4.0,3.0,7.0,VLCC,299996.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-15 00:00:00,3,New Dragon,9379715,992444
2026-08-16,9623685,ANGOLA B,accounted,outside,Kpler loaded at Al Basrah on 2026-08-09 then SoH laden exit on 2026-08-13.,2026-08-13,Exited MEG,Laden,crude,Dark/Unknown Route,2026-08-09 00:00:00,2026-08-09 00:00:00,Al Basrah,,In Transit,trade,inside_gulf,unknown,Basrah,1.0,1959999.0,,7.0,4.0,3.0,7.0,VLCC,299999.0,clean fleet,False,False,1.0,True,False,receiver_after_exit,receiver,Fujairah Light,2026-08-15 00:00:00,2,Dht Taiga,9590888,1959999
2026-08-16,9575096,Harbour Splendor,bypass,never_seen,Kpler load at Muajjiz is east/Red Sea — no SoH exit expected.,,,,,,2026-04-29 16:38:00,2026-04-29 16:38:00,Muajjiz,SDIC Yangpu Terminal,Delivered,trade,bypass_red_sea,outside,Arab,1.0,513462.0,,109.0,,3.0,7.0,,,clean fleet,False,False,0.0,False,True,unknown_partner,receiver,Gulf of Oman,2026-06-23 00:00:00,,,,2000002
2026-08-16,9646986,Tong Zhou Gong Ji,bypass,never_seen,Kpler load at Muajjiz is east/Red Sea — no SoH exit expected.,,,,,,2026-05-11 08:39:00,2026-05-11 08:39:00,Muajjiz,,PortCall,portcall,bypass_red_sea,unknown,Arab Lt.,1.0,1991360.0,,97.0,,3.0,7.0,,,clean fleet,False,False,0.0,False,True,unknown_partner,receiver,Gulf of Oman,2026-06-18 00:00:00,,,,1991360
2026-08-16,9633446,Novo,bypass,never_seen,Kpler load at ADCOP Fujairah is east/Red Sea — no SoH exit expected.,,,,,,2026-05-17 02:33:00,2026-05-17 02:33:00,ADCOP Fujairah,Mumbai Refinery,Delivered,trade,bypass_east,outside,Murban,1.0,799994.0,,91.0,,3.0,7.0,,,clean fleet,False,False,0.0,False,True,unknown_partner,receiver,Gulf of Oman,2026-08-09 00:00:00,,,,1017760
2026-08-16,9779604,Sea Pearl,bypass,never_seen,Kpler load at Muajjiz is east/Red Sea — no SoH exit expected.,,,,,,2026-05-20 22:39:00,2026-05-20 22:39:00,Muajjiz,S-Oil Onsan,Delivered,trade,bypass_red_sea,outside,Arab Lt.,1.0,2071505.0,,88.0,,3.0,7.0,,,clean fleet,False,False,0.0,False,True,unknown_partner,receiver,Gulf of Oman,2026-07-10 00:00:00,,,,1999996
2026-08-16,9844277,Olympic Life,bypass,never_seen,Kpler load at ADCOP Fujairah is east/Red Sea — no SoH exit expected.,,,,,,2026-05-26 01:57:00,2026-05-26 01:57:00,ADCOP Fujairah,Kochi Refinery,Delivered,trade,bypass_east,outside,Murban,1.0,607155.0,,82.0,,3.0,7.0,,,clean fleet,False,False,0.0,False,True,unknown_partner,receiver,Gulf of Oman,2026-08-15 00:00:00,,,,2000002
