,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
711,STELLA,9313761,MR,NORWAY,Entered MEG,2026-06-19,Iranian Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Khor Al Zubair Port,Iraq,45737,"2,004",JAPAN,45.737,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
700,TANI,9417464,Aframax/LR2,COMOROS,Entered MEG,2026-06-20,Dark/Unknown Route,Ballast,,0,bbl,Pelepas Light.,Malaysia,Bandar Mahshahr,Iran,105188,"2,009",REPUBLIC OF KOREA,105.188,AFRA,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
696,ORTA,9261841,Short Sea Tankers,PALAU,Entered MEG,2026-06-20,Iranian Route,Ballast,,0,bbl,Bosaso,Somalia,,,10018,"2,003",TURKIYE,10.018,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
662,BREEZ,9247778,MR,COMOROS,Entered MEG,2026-06-21,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,,,47038,"2,002",JAPAN,47.038,LR1,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
656,SOUTH AFRICA PROSPERITY,9526461,VLCC,LIBERIA,Entered MEG,2026-06-22,Omani Route,Ballast,,0,bbl,Sikka,India,Al Basrah,Iraq,299992,"2,011",REPUBLIC OF KOREA,299.992,VLCC,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
627,SARAK,9226968,Suezmax/LR3,IRAN,Entered MEG,2026-06-23,Iranian Route,Ballast,,0,bbl,EOPL,,,,159885,"2,001",REPUBLIC OF KOREA,159.885,LR2,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
629,SOBAR,9221970,Suezmax/LR3,IRAN,Entered MEG,2026-06-23,Iranian Route,Ballast,,0,bbl,EOPL,,,,160183,"2,001",REPUBLIC OF KOREA,160.183,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
604,PONTUS,9511179,Short Sea Tankers,PALAU,Entered MEG,2026-06-24,IMO Route,Laden,DPP,17133,bbl,Salalah,Oman,Jebel Ali,United Arab Emirates,5752,"2,008",JAPAN,5.752,Below GP,products,tagged,17133.0,False,False,False,False,False,clean fleet
594,EPIK,9273832,MR,PANAMA,Entered MEG,2026-06-24,IMO Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Hamriya,United Arab Emirates,46719,"2,004",JAPAN,46.719,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
568,IXORA,9940459,Aframax/LR2,LIBERIA,Entered MEG,2026-06-25,Dark/Unknown Route,Ballast,,0,bbl,Sohar,Oman,Mina Al-Ahmadi,Kuwait,111006,"2,022",CHINA,111.006,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
