imo,vessel_name,vessel_key,flag,afra_class,dwt,fleet,is_dark_fleet,n_crossings,n_enter,n_exit,first_enter,last_enter,last_exit,last_direction,last_crossing_date,last_crossing_type,last_loading_state_xing,last_cargo_type_xing,next_port_xing,in_out,days_since_enter,days_since_exit
1014876,IMOLA,IMOLA,LIBERIA,LR2,156906,clean fleet,False,1,1,0,2026-07-10,2026-07-10,,Entered MEG,2026-07-10,Dark/Unknown Route,Ballast,,Al Basrah,in,4.0,
1017048,METRO MISTRAL,METRO MISTRAL,GREECE,LR1,74949,clean fleet,False,1,1,0,2026-07-09,2026-07-09,,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,Jubail Industrial Port,in,5.0,
1030052,NAUTILUS,NAUTILUS,LIBERIA,LR1,74916,clean fleet,False,1,1,0,2026-07-09,2026-07-09,,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,Ras Tanura,in,5.0,
1034747,LARGO ATOM,LARGO ATOM,LIBERIA,LR1,49740,clean fleet,False,1,1,0,2026-07-04,2026-07-04,,Entered MEG,2026-07-04,Dark/Unknown Route,Ballast,,Ras Laffan,in,10.0,
8806321,MIB 1,MIB 1,NICARAGUA,Below GP,1266,clean fleet,False,1,1,0,2026-07-04,2026-07-04,,Entered MEG,2026-07-04,Dark/Unknown Route,Ballast,,,in,10.0,
9112117,QUAR,QUAR,COMOROS,LR1,46166,clean fleet,False,1,1,0,2026-04-04,2026-04-04,,Entered MEG,2026-04-04,Dark/Unknown Route,Ballast,,Mideast Gulf,in,101.0,
9125724,BLOOMING DALE,BLOOMING DALE,ARUBA,GP,12083,dark fleet,True,2,1,1,2026-04-13,2026-04-13,2026-04-02,Entered MEG,2026-04-13,Dark/Unknown Route,Laden,DPP,Bandar Abbas,in,92.0,103.0
9175535,JORYA,JORYA,HONG KONG,GP,22377,clean fleet,False,1,1,0,2026-04-05,2026-04-05,,Entered MEG,2026-04-05,Iranian Route,Laden,Veg/Bio,Jubail Industrial Port,in,100.0,
9177155,DESTINY,DESTINY,IRAN,VLCC,281050,dark fleet,True,1,1,0,2026-03-05,2026-03-05,,Entered MEG,2026-03-05,Dark/Unknown Route,Ballast,,South Pars,in,131.0,
9181194,FELIX,FELIX,GABON,VLCC,308491,dark fleet,True,1,1,0,2026-07-08,2026-07-08,,Entered MEG,2026-07-08,Iranian Route,Ballast,,Khor Al Zubair Port,in,6.0,
9184055,AROLIA,AROLIA,GAMBIA,Below GP,6690,clean fleet,False,1,1,0,2026-06-22,2026-06-22,,Entered MEG,2026-06-22,Iranian Route,Laden,DPP,Sharjah,in,22.0,
9187667,ARGO I,ARGO I,IRAN,AFRA,99094,dark fleet,True,1,1,0,2026-03-30,2026-03-30,,Entered MEG,2026-03-30,Dark/Unknown Route,Ballast,,Iran,in,106.0,
9196448,ROCKY,ROCKY,MALI,GP,12180,dark fleet,True,1,1,0,2026-07-08,2026-07-08,,Entered MEG,2026-07-08,Dark/Unknown Route,Ballast,,,in,6.0,
