aoi,date,vessel_count,sensor,length_m,width_m,size_class,centroid_xy,angle_deg,berth,valid_px,diff_frac,blob_frac,hull_frac,hull_blob_frac,mean_ndwi,water_frac
das_spm_1,2026-07-01,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-04,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-14,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-19,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-24,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-29,0,s2,,,none_detected,,,,,,,,,,
das_spm_1,2026-07-31,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-01,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-04,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-14,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-19,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-24,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-29,0,s2,,,none_detected,,,,,,,,,,
das_spm_2,2026-07-31,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-01,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-04,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-14,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-19,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-24,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-29,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_1,2026-07-31,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-01,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-04,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-14,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-19,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-24,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-29,0,s2,,,none_detected,,,,,,,,,,
zirku_spm_2,2026-07-31,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-01,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-04,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-14,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-19,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-24,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-29,0,s2,,,none_detected,,,,,,,,,,
um_lulu_spm,2026-07-31,0,s2,,,none_detected,,,,,,,,,,
yanbu_north_crude_terminal,2026-07-02,1,s2,400.0,,unclassified,"(82.0, 60.3)",,berth_2,979.0,0.8,0.711,0.143,0.097,-0.001,0.0
yanbu_north_crude_terminal,2026-07-07,2,s2,400.0,,unclassified,"(82.5, 60.2)",,berth_2,1007.0,0.79,0.79,0.116,0.116,-0.006,0.0
yanbu_north_crude_terminal,2026-07-07,2,s2,530.0,,unclassified,"(167.4, 103.2)",,berth_4,1463.0,0.127,0.118,0.163,0.163,-0.061,0.0
yanbu_north_crude_terminal,2026-07-12,2,s2,400.0,,unclassified,"(82.3, 60.2)",,berth_2,967.0,0.771,0.68,0.031,0.031,-0.003,0.0
yanbu_north_crude_terminal,2026-07-12,2,s2,530.0,,unclassified,"(166.5, 102.4)",,berth_4,1479.0,0.103,0.087,0.138,0.138,-0.048,0.0
yanbu_north_crude_terminal,2026-07-22,1,s2,400.0,,unclassified,"(82.4, 60.5)",,berth_2,911.0,0.739,0.647,0.027,0.027,-0.002,0.0
yanbu_north_crude_terminal,2026-07-27,1,s2,400.0,,unclassified,"(82.9, 59.3)",,berth_2,1053.0,0.749,0.737,0.075,0.075,-0.024,0.0
yanbu_north_crude_terminal,2026-07-29,2,s2,520.0,,unclassified,"(44.6, 36.6)",,berth_1,1251.0,0.016,0.006,0.082,0.082,0.025,0.0
yanbu_north_crude_terminal,2026-07-29,2,s2,400.0,,unclassified,"(82.8, 59.9)",,berth_2,1055.0,0.804,0.804,0.0,0.0,0.052,0.0
yanbu_north_crude_terminal,2026-08-01,2,s2,400.0,,unclassified,"(83.0, 59.1)",,berth_2,1105.0,0.761,0.76,0.213,0.213,-0.07,0.0
yanbu_north_crude_terminal,2026-08-01,2,s2,530.0,,unclassified,"(171.1, 100.2)",,berth_4,1529.0,0.199,0.173,0.024,0.024,0.022,0.0
muajjiz,2026-07-02,3,s2,440.0,,unclassified,"(40.7, 34.1)",,berth_1,1406.0,0.312,0.257,0.179,0.149,-0.039,0.0
muajjiz,2026-07-02,3,s2,430.0,,unclassified,"(74.5, 68.3)",,berth_2,1255.0,0.589,0.574,0.139,0.12,0.009,0.019
