destination,n,kbbl,pct
Houston,3,5149.4,10.1
Gdansk,7,5119.0,10.0
Gdansk Naftoport PERN,6,4629.8,9.0
Europe,2,3189.0,6.2
Pachi,3,2866.1,5.6
Brazil,1,2131.5,4.2
Galveston Light.,1,2128.5,4.2
Eastern Asia,1,2122.0,4.1
Ulsan,1,2002.7,3.9
Sonatrach Augusta Refinery,3,1964.1,3.8
Trieste,3,1543.8,3.0
Butinge,2,1473.7,2.9
Tupras Aliaga Izmir Refinery,3,1456.6,2.8
Augusta,1,1063.8,2.1
MOH Corinth Refinery,1,1061.4,2.1
Rayong,1,1056.7,2.1
Gibraltar,1,1056.7,2.1
Sikka,1,1055.1,2.1
Thailand,1,1055.1,2.1
Northern America,1,1054.7,2.1
STAR Refinery,1,1017.7,2.0
Americas,1,948.6,1.9
(blank),1,937.1,1.8
South-Central Asia,1,802.7,1.6
PBF Paulsboro,2,766.1,1.5
Western Europe,1,612.4,1.2
Milazzo Refinery,1,557.1,1.1
Poland,1,551.8,1.1
Repsol Cartagena Refinery,1,505.9,1.0
Falconara Refinery,1,482.2,0.9
Gibraltar-San Roque Refinery,1,444.4,0.9
Aspropyrgos,1,256.4,0.5
Tupras Izmit Refinery,1,127.1,0.2
Egypt,1,45.8,0.1
