dest_region,destination_country,n,kbbl
(blank),(blank/zone),16,21913.2
Asia,India,11,13387.4
Asia,(blank/zone),5,7297.0
Asia,China,3,6352.8
Asia,South Korea,3,6120.8
Asia,Japan,3,4186.1
Asia,Taiwan,3,4103.0
Asia,Pakistan,3,1897.5
Asia,Saudi Arabia,2,1128.2
Asia,Thailand,1,1056.7
Asia,Singapore Republic,1,1042.5
Asia,Malaysia,1,213.8
Europe,Poland,14,10161.5
Europe,Greece,6,4758.6
Europe,Italy,8,4547.2
Europe,Turkey,6,3665.1
Europe,Spain,4,3006.0
Europe,Lithuania,4,2599.6
Europe,Gibraltar,1,1056.7
Europe,(blank/zone),1,551.8
Other,Egypt,1,2123.8
Other,Brazil,2,1694.3
Other,(blank/zone),1,1057.0
USA,United States,7,9136.6
USA,(blank/zone),3,3177.6
