date,USA,Europe,Asia,Other,(blank),total
2026-07-16,0.0,1915.592,2210.288,0.0,0.0,4125.88
2026-07-17,1858.7069999999999,769.998,2128.66,0.0,0.0,4757.365
2026-07-18,2128.528,328.435,4906.956,0.0,0.0,7363.919
2026-07-19,0.0,1535.4679999999998,1490.0300000000002,0.0,0.0,3025.498
2026-07-20,0.0,776.313,2892.902,0.0,0.0,3669.215
2026-07-21,1174.295,783.068,0.0,0.0,1980.616,3937.9790000000003
2026-07-22,0.0,1618.474,433.789,0.0,769.514,2821.777
2026-07-23,2052.503,1858.248,4217.996,0.0,0.0,8128.747
2026-07-24,0.0,0.0,2047.088,0.0,0.0,2047.088
2026-07-25,0.0,0.0,2240.404,0.0,0.0,2240.404
2026-07-26,0.0,0.0,1017.76,0.0,0.0,1017.76
2026-07-27,964.611,457.156,0.0,0.0,0.0,1421.767
2026-07-28,0.0,1940.934,0.0,0.0,0.0,1940.934
2026-07-29,948.566,1025.9360000000001,1299.996,0.0,395.899,3670.3970000000004
2026-07-30,2132.283,1165.048,0.0,0.0,0.0,3297.331
2026-07-31,0.0,2544.6859999999997,0.0,0.0,0.0,2544.6859999999997
2026-08-01,0.0,1247.005,2002.707,0.0,0.0,3249.7120000000004
2026-08-02,0.0,1295.247,0.0,0.0,0.0,1295.247
2026-08-03,0.0,1215.3980000000001,0.0,0.0,937.081,2152.4790000000003
2026-08-04,0.0,2792.209,0.0,0.0,0.0,2792.209
2026-08-05,0.0,1354.912,996.488,0.0,0.0,2351.4
2026-08-06,0.0,1648.408,802.705,0.0,0.0,2451.113
2026-08-07,1054.738,0.0,2110.212,0.0,0.0,3164.95
2026-08-08,0.0,776.313,2089.6440000000002,0.0,0.0,2865.9570000000003
2026-08-09,0.0,2903.9539999999997,0.0,0.0,0.0,2903.9539999999997
2026-08-10,0.0,1063.764,0.0,45.808,0.0,1109.572
2026-08-11,0.0,1049.939,0.0,0.0,0.0,1049.939
