date,yanbu_ex_ain_kbbl,sidi_kerir_kbbl,yanbu_to_ain_kbbl,yanbu_ex_ain_kbbl_7dma,sidi_kerir_kbbl_7dma,suez_side_total_kbbl
2026-07-16,2210.288,1915.592,2130.553,2210.288,1915.592,4125.88
2026-07-17,3221.313,1536.052,3106.0389999999998,2715.8005000000003,1725.8220000000001,4757.365
2026-07-18,4906.956,2456.9629999999997,0.0,3446.1856666666667,1969.5356666666667,7363.919
2026-07-19,1490.0300000000002,1535.4679999999998,2150.001,2957.1467500000003,1861.01875,3025.498
2026-07-20,2892.902,776.313,0.0,2944.2978000000003,1644.0775999999998,3669.215
2026-07-21,3154.911,783.068,948.566,2979.4,1500.576,3937.9790000000003
2026-07-22,1203.3029999999999,1618.474,2139.051,2725.6718571428573,1517.4185714285716,2821.777
2026-07-23,5299.9310000000005,2828.8160000000003,2065.001,3167.049428571429,1647.8791428571426,8128.747000000001
2026-07-24,2047.088,0.0,0.0,2999.3030000000003,1428.4431428571427,2047.088
2026-07-25,2240.404,0.0,4141.43,2618.3670000000006,1077.4484285714286,2240.404
2026-07-26,1017.76,0.0,2000.002,2550.8998571428574,858.0958571428572,1017.76
2026-07-27,0.0,1421.767,2120.842,2137.628142857143,950.3035714285714,1421.767
2026-07-28,0.0,1940.934,2132.843,1686.9265714285716,1115.713,1940.934
2026-07-29,1695.895,1974.502,2137.271,1757.2968571428573,1166.574142857143,3670.397
2026-07-30,0.0,3297.331,0.0,1000.1638571428572,1233.5048571428572,3297.331
2026-07-31,1005.803,1538.883,2006.242,851.4088571428572,1453.3452857142856,2544.686
2026-08-01,0.0,3249.712,6193.154,531.3511428571429,1917.5898571428572,3249.712
2026-08-02,0.0,1295.247,0.0,385.9568571428572,2102.6251428571427,1295.247
2026-08-03,0.0,2152.4790000000003,0.0,385.9568571428572,2207.0125714285714,2152.4790000000003
2026-08-04,0.0,2792.209,0.0,385.9568571428572,2328.6232857142854,2792.209
2026-08-05,996.488,1354.912,996.488,286.04157142857144,2240.1104285714287,2351.4
2026-08-06,0.0,2451.1130000000003,0.0,286.04157142857144,2119.222142857143,2451.1130000000003
2026-08-07,0.0,3164.95,2137.271,142.35542857142858,2351.517428571429,3164.95
2026-08-08,1032.9,1833.0569999999998,2077.952,289.9125714285714,2149.138142857143,2865.957
2026-08-09,0.0,2903.9539999999997,0.0,289.9125714285714,2378.9534285714285,2903.9539999999997
2026-08-10,0.0,1109.572,0.0,289.9125714285714,2229.9667142857143,1109.572
2026-08-11,0.0,1049.939,0.0,289.9125714285714,1981.071,1049.939
