destination,n,kbbl,pct
Ain Sukhna,20,38482.7,40.9
(blank),10,14588.5,15.5
Ulsan,3,6283.1,6.7
Eastern Asia,2,3172.3,3.4
BORL Jamnagar Oil Terminal,2,2140.7,2.3
Huizhou,1,2135.0,2.3
FPCC Mailiao Refinery,1,2106.5,2.2
China,1,2057.6,2.2
CNPC Qinzhou Refinery,1,2055.7,2.2
Nagoya,1,2047.1,2.2
New Mangalore Refinery,2,1492.6,1.6
South-Central Asia,1,1200.0,1.3
Karachi Keamari,2,1191.5,1.3
Americas,1,1174.3,1.2
Houston,1,1092.7,1.2
Western Europe,1,1081.9,1.1
Chennai,1,1074.1,1.1
SRC Jurong,1,1042.5,1.1
Jordan,1,1040.4,1.1
HMEL Mundra Oil Terminal,1,1017.8,1.1
Europe,1,1005.8,1.1
Kaohsiung,1,998.2,1.1
Taoyuan,1,998.2,1.1
South Korea,1,996.5,1.1
Mumbai,1,970.8,1.0
Mangalore,1,774.9,0.8
Jizan Refinery,1,732.3,0.8
Karachi,1,706.0,0.7
Cochin,1,300.0,0.3
Petronas Melaka Refinery,1,213.8,0.2
