load_ts,vessel_name,vessel_imo,vessel_type,status,closest_ancestor_grade,origin_best,dest_best,kbbl,dest_ain_sukhna
2026-07-16 04:39:00,Niban,9484716,VLCC,Delivered,Arab,Yanbu Crude,Ain Sukhna,2130.553,True
2026-07-16 07:39:00,Sea Emerald,9852119,VLCC,In Transit,Arab,Muajjiz,Taoyuan,998.23,False
2026-07-16 07:39:00,Sea Emerald,9852119,VLCC,In Transit,Arab,Muajjiz,Kaohsiung,998.23,False
2026-07-16 10:19:00,Adebola Adeline,9427627,LR3,Delivered,Arab Lt.,Yanbu Crude,Petronas Melaka Refinery,213.828,False
2026-07-17 03:39:00,Front Gaula,9933652,VLCC,In Transit,Arab,Yanbu Crude,Houston,1092.653,False
2026-07-17 03:39:00,Front Gaula,9933652,VLCC,Delivered,Arab,Yanbu Crude,Ain Sukhna,964.611,True
2026-07-17 17:34:00,Sophia,9776559,VLCC,In Transit,Arab,Muajjiz,Ulsan,2128.66,False
2026-07-17 23:42:00,Amzan,9693745,VLCC,Delivered,Arab,Muajjiz,Ain Sukhna,2141.428,True
2026-07-18 00:00:00,Merbabu,9388364,LR2,Delivered,Arab,Yanbu Crude,New Mangalore Refinery,716.214,False
2026-07-18 11:39:00,Xin Long Yang,9761463,VLCC,Delivered,Arab,Yanbu Crude,CNPC Qinzhou Refinery,2055.742,False
2026-07-18 22:19:00,Cosnew Lake,9804289,VLCC,Delivered,Arab,Yanbu Crude,Huizhou Refinery,2135.0,False
2026-07-19 05:59:00,Farhah,9484742,VLCC,Delivered,Arab,Muajjiz,Ain Sukhna,2150.001,True
2026-07-19 07:19:00,Encelia,9240172,LR2,Delivered,Arab,Yanbu Crude,Jizan Refinery,732.335,False
2026-07-19 17:19:00,Lahore,9913511,LR2,Delivered,Arab,Muajjiz,Karachi Keamari,757.695,False
2026-07-20 01:39:00,Rodos,1024948,LR2,Delivered,Arab,Muajjiz,New Mangalore Refinery,776.338,False
2026-07-20 09:59:00,New Explorer,1090777,VLCC,Delivered,Arab,Yanbu Crude,SRC Jurong,1042.485,False
