vessel_name,imo,flag,fleet,afra_class,dwt,controller,charterer,seller,loading_port,grade,loading_date,volume_bbl,last_enter,last_exit,in_out,days_since_enter,last_loading_state,trade_status,discharged,stuck_risk,exit_candidate,last_crossing_type,n_enter,n_exit
IMOLA,1014876,LIBERIA,clean fleet,LR2,156906,,,SOMO,Al Basrah,Basrah,2026-07-19 04:41:00,960001.0,2026-07-10,,in,4.0,ballast,Scheduled,,False,False,Dark/Unknown Route,1,0
METRO MISTRAL,1017048,GREECE,clean fleet,LR1,74949,,,,,,,,2026-07-09,,in,5.0,ballast,,Jubail Industrial Port,False,False,Dark/Unknown Route,1,0
STOIC WARRIOR,1028762,LIBERIA,clean fleet,LR2,156885,,,SOMO,Al Basrah,Basrah Med.,2026-02-28 17:59:00,1012911.0,,2026-06-25,out,,laden,Delivered,MOH Corinth Refinery,False,False,Omani Route,0,1
NAUTILUS,1030052,LIBERIA,clean fleet,LR1,74916,,,,,,,,2026-07-09,,in,5.0,ballast,,Ras Tanura,False,False,Dark/Unknown Route,1,0
LARGO ATOM,1034747,LIBERIA,clean fleet,LR1,49740,,,,,,,,2026-07-04,,in,10.0,ballast,,Ras Laffan,True,False,Dark/Unknown Route,1,0
ATOKOS,1037048,LIBERIA,clean fleet,VLCC,299985,GS Energy,GS Energy,ADNOC,ADCOP Fujairah,Murban,2026-06-03 12:38:00,1799999.0,,2026-04-15,out,,laden,Delivered,Geoje,False,False,Dark/Unknown Route,0,1
ALIAKMON I,1038884,LIBERIA,clean fleet,VLCC,299992,,,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-04-28 00:00:00,1899994.0,2026-04-26,2026-05-02,out,79.0,laden,Delivered,Ras Markaz,False,False,Dark/Unknown Route,1,1
NISSOS TIGANI,1044869,MARSHALL ISLANDS,clean fleet,LR2,156790,ETC,ETC,SOMO,Al Basrah,Basrah,2026-06-30 21:59:00,979996.0,2026-06-26,2026-07-04,out,18.0,laden,Delivered,Ain Sukhna,False,False,Dark/Unknown Route,1,1
ATARAKTOS,1052880,MARSHALL ISLANDS,clean fleet,LR2,157000,Aramco,Aramco,Aramco,Ras Tanura,Arab,2026-07-09 03:39:00,1054738.0,2026-06-28,2026-07-14,out,16.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
QUAR,9112117,COMOROS,clean fleet,LR1,46166,,,,,,,,2026-04-04,,in,101.0,ballast,,Mideast Gulf,True,False,Dark/Unknown Route,1,0
NOBLE,9162928,GUINEA,dark fleet,LR1,47198,,,"SOC,SOMO",Al Basrah,Basrah,2026-07-27 19:41:00,2124949.0,,2026-03-18,out,,ballast,Scheduled,,False,False,Dark/Unknown Route,0,1
IMPALAS,9171448,SAO TOME AND PRINCIPE,dark fleet,VLCC,299167,,,NIOC,Kharg Island,Iran,2026-06-22 23:59:00,2003612.0,2026-06-18,2026-06-25,out,26.0,laden,In Transit,,False,False,Iranian Route,1,2
STARK I,9171450,IRAN,dark fleet,LR2,159681,,,,,,,,,2026-03-05,out,,laden,,EOPL,False,False,Dark/Unknown Route,0,1
SINOPA,9172038,IRAN,dark fleet,LR2,159681,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-11 00:00:00,1032679.0,2026-07-02,2026-07-14,out,12.0,laden,Delivered,Dongjiakou Oil Terminal,False,False,Dark/Unknown Route,2,2
SILVIA I,9172052,IRAN,dark fleet,LR2,159711,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-16 00:00:00,1032679.0,2026-04-12,2026-06-01,out,93.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
HELGA,9176993,COMOROS,clean fleet,VLCC,298620,,,SOMO,Al Basrah,Basrah,2026-07-21 07:41:00,1459997.0,2026-06-02,2026-06-15,out,42.0,ballast,Scheduled,,False,False,Dark/Unknown Route,2,2
DESTINY,9177155,IRAN,dark fleet,VLCC,281050,,,,,,,,2026-03-05,,in,131.0,ballast,,South Pars,True,False,Dark/Unknown Route,1,0
KATSUYA,9178068,GAMBIA,dark fleet,LR1,47053,,,,Iran,Iran,2026-06-26 00:00:00,326233.0,,2026-07-01,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
SULLANA,9180152,CURACAO,dark fleet,VLCC,306397,,,NIOC,Jask Oil Terminal,Iran,2026-07-11 05:35:00,2052012.0,2026-03-27,2026-04-09,out,109.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
HUMANITY,9180281,IRAN,dark fleet,VLCC,299990,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-07-08 00:00:00,1941494.0,2026-07-01,2026-07-12,out,13.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
FELIX,9181194,GABON,dark fleet,VLCC,308491,,,NIOC,Jask Oil Terminal,Iran,2026-03-23 00:00:00,2009185.0,2026-07-08,,in,6.0,ballast,Delivered,Dongjiakou Oil Terminal,False,False,Iranian Route,1,0
FELICITY,9183934,IRAN,dark fleet,VLCC,299990,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-25 00:00:00,2009122.0,2026-04-22,2026-06-19,out,83.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
ARGO I,9187667,IRAN,dark fleet,AFRA,99094,,,,,,,,2026-03-30,,in,106.0,ballast,,Iran,True,False,Dark/Unknown Route,1,0
KYLO,9189146,COMOROS,dark fleet,VLCC,160573,,,NIOC,Kharg Island,Iran,2026-03-28 00:00:00,1036070.0,,2026-04-01,out,,laden,Delivered,Dongjiakou Oil Terminal,False,False,Iranian Route,0,1
DIVIT,9194139,COMOROS,dark fleet,AFRA,99123,,,NIOC,Kharg Island,Iran,2026-04-03 00:00:00,664549.0,2026-03-30,2026-04-05,out,106.0,laden,Delivered,Dongying,False,False,Iranian Route,1,1
ELVA,9196644,GAMBIA,dark fleet,VLCC,298465,,,NIOC,Kharg Island,Iran,2026-05-06 00:00:00,2007462.0,2026-05-03,2026-06-22,out,72.0,laden,In Transit,,False,False,Iranian Route,1,1
ANDROMEDA V,9197832,CURACAO,dark fleet,VLCC,281037,,,NIOC,Kharg Island,Iran,2026-03-01 00:00:00,1941249.0,,2026-04-03,out,,laden,Delivered,EOPL,False,False,Dark/Unknown Route,0,1
HORNET,9197844,BENIN,dark fleet,VLCC,281050,,,NIOC,Kharg Island,Iran,2026-06-29 00:00:00,1494251.0,2026-06-22,2026-07-03,out,22.0,laden,In Transit,,False,False,Iranian Route,1,1
ARHIMEDA,9197909,MALAWI,dark fleet,VLCC,309498,,,NIOC,Kharg Island,Iran,2026-04-20 00:00:00,2000002.0,2026-04-09,,in,96.0,ballast,In Transit,,True,True,Iranian Route,1,0
LEXIE,9203277,BOTSWANA,dark fleet,VLCC,298911,,,,,,,,2026-06-01,,in,43.0,ballast,,,True,False,Dark/Unknown Route,1,0
RHN,9208215,CURACAO,dark fleet,VLCC,298920,,,,,,,,2026-04-15,,in,90.0,ballast,,,True,False,Iranian Route,1,0
OLYM,9212759,GUYANA,dark fleet,VLCC,160383,,,NIOC,Kharg Island,Iran,2026-03-29 00:00:00,1074614.0,2026-07-12,2026-04-04,in,2.0,ballast,Delivered,EOPL,False,False,Dark/Unknown Route,2,1
HEDY,9212888,IRAN,dark fleet,VLCC,299242,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-08 00:00:00,2000002.0,,2026-03-18,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
